depth	d18O
0.01	2.56
0.04	2.55
0.04	2.87
0.08	2.92
0.08	2.83
0.12	2.83
0.16	2.76
0.24	2.92
0.32	2.89
0.64	2.43
0.68	2.91
0.68	2.77
0.72	2.88
0.84	2.61
0.84	2.73
0.88	2.99
0.92	2.99
0.96	2.72
0.96	2.72
0.96	2.91
1.04	3.06
1.08	2.83
1.08	2.78
1.12	3.1
1.2	3.01
1.24	2.98
1.24	2.86
1.28	2.79
1.28	3.01
1.32	2.99
1.36	3.08
1.4	2.96
1.48	2.93
1.64	2.94
1.64	3.09
1.72	3.09
1.76	3
1.8	2.66
1.84	2.94
2	3.25
2.04	2.92
2.08	3.13
2.12	3.41
2.16	3.19
2.2	3.18
2.24	3.07
2.28	3.19
2.32	3.27
2.36	3.34
2.4	3.33
2.44	3.28
2.48	3.29
2.51	3.36
2.56	3.19
2.6	3.21
2.64	3.36
2.68	3.18
2.72	3.17
2.76	3.11
2.8	3.22
2.84	3.22
2.88	3.08
2.92	3.35
2.96	3.37
3	3.26
3.04	3.15
3.08	3.34
3.12	3.22
3.16	3.31
3.2	3.21
3.24	3.18
3.28	3.24
3.32	3.22
3.36	3.21
3.4	3.42
3.44	3.12
3.48	3.18
3.52	3.21
3.56	3.27
3.6	3.09
3.64	3.25
3.68	3.35
3.74	3.23
3.78	3.4
3.82	3.34
3.86	3.39
3.9	3.46
3.94	3.5
3.98	3.39
4.02	3.45
4.06	3.44
4.1	3.52
4.14	3.39
4.18	3.32
4.22	3.55
4.26	3.35
4.3	3.41
4.34	3.43
4.38	3.38
4.42	3.4
4.5	3.53
4.54	3.37
4.66	2.68
4.7	2.88
4.86	3.36
4.94	2.62
5.06	3.27
5.1	3.03
5.14	2.94
5.26	2.51
5.3	2.74
5.35	2.94
5.42	2.89
5.46	2.78
5.5	3.23
5.54	2.79
5.66	2.98
5.86	2.98
5.9	3.55
5.98	3.36
6.26	3.72
6.34	3.23
6.66	3.26
6.7	3.8
6.74	3.39
6.78	2.76
6.82	3.46
6.82	3.38
6.86	3.28
6.94	3.33
6.98	3.29
7.06	3.39
7.1	3.2
7.3	3.87
7.5	3.35
