depth	d18O
0.005	3.29
0.0125	3.08
0.0175	3.19
0.0225	3.1
0.0275	3.25
0.0325	3.18
0.0375	3.13
0.0425	3.23
0.0475	3.01
0.0525	3.26
0.0575	3.16
0.0625	3.24
0.0675	3.19
0.0725	3.09
0.0775	3.15
0.085	3.3
0.0925	3.33
0.0975	3.22
0.1025	3.35
0.1075	3.19
0.1125	3.3
0.1175	3.19
0.1225	3.33
0.1275	3.15
0.1325	3.24
0.1375	3.08
0.1425	2.94
0.1475	3.22
0.1525	3.31
0.1575	3.21
0.165	3.46
0.1725	3.77
0.1775	3.22
0.1825	3.49
0.1875	3.16
0.1925	3.38
0.2025	3.17
0.2075	3.34
0.2225	3.43
0.2325	3.37
0.2375	3.89
0.245	3.64
0.2525	3.99
0.2575	3.97
0.2625	3.51
0.2675	4
0.2725	4.1
0.2775	3.99
0.2825	3.99
0.2875	4.06
0.2925	4.01
0.2975	4.09
0.3025	4.24
0.3075	4.19
0.3125	4.21
0.3175	4.23
0.325	4.24
0.3325	4.21
0.3375	4.25
0.3425	4.17
0.3475	4.18
0.3525	4.19
0.3575	4.25
0.3625	4.09
0.3675	4.19
0.3725	4.21
0.3775	4.61
0.3825	4.72
0.3875	4.12
0.3925	4.64
0.3975	4.71
0.405	4.39
0.4125	4.47
0.4175	4.24
0.4225	4.23
0.4275	4.21
0.4325	4.66
0.4375	5.07
0.4425	4.72
0.4475	4.49
0.4525	4.82
0.4575	4
0.4625	4.83
0.4675	4.87
0.4725	5.05
0.4775	5.11
0.485	4.61
0.4925	4.74
0.4975	5.04
0.5025	4.97
0.5225	3.35
0.5275	4.89
0.5325	5.09
0.5375	5.05
0.5425	5.15
0.5475	5.04
0.5525	5.1
0.5575	4.9
0.565	5.08
0.5725	5.12
0.5825	5.14
0.5875	5.11
0.5925	5.09
0.5975	5.13
0.6025	5.16
0.6075	5.1
0.6125	5.08
0.6175	5.11
0.6225	5
0.6275	5.07
0.6325	5.07
0.6375	5.26
0.645	5.24
0.725	5.3
0.805	5.21
0.885	5.07
0.965	5.15
1.045	5.1
1.125	5.12
1.205	5.06
1.285	4.77
1.365	4.93
