depth	d18O
0.005	2.96
0.045	2.97
0.085	2.72
0.125	2.83
0.165	3
0.205	2.95
0.245	2.97
0.285	2.74
0.325	2.8
0.365	2.76
0.405	2.95
0.485	2.94
0.525	2.89
0.565	2.88
0.605	3.23
0.645	3.69
0.685	3.9
0.725	4.01
0.765	4.13
0.805	4.02
0.845	3.8
0.885	4.16
0.925	4.28
0.965	4.28
1.005	4.3
1.045	4.32
1.085	4.26
1.125	4.61
1.165	4.32
1.205	4.41
1.245	4.73
1.285	4.69
1.325	4.72
1.365	4.72
1.405	4.77
1.445	4.9
1.485	4.85
1.525	4.84
1.605	4.67
1.645	4.56
1.685	4.75
1.725	4.65
1.765	4.81
1.805	4.65
1.845	4.71
1.885	4.63
1.925	4.7
1.965	4.62
2.005	4.77
