depth	d18O
1.325	2.649041
1.325	2.404041
1.325	2.612041
1.365	2.746041
1.365	2.366041
1.405	2.730041
1.405	2.679041
1.405	2.866041
1.445	2.829041
1.445	3.250041
1.485	2.768041
1.485	2.734041
1.485	2.749041
1.525	3.357041
1.525	3.359041
1.565	3.551041
1.565	2.564041
1.565	3.249041
1.605	3.437041
1.645	3.588792
1.645	3.587791
1.645	3.288792
1.685	2.923792
1.685	3.712792
1.685	3.291791
1.725	3.132791
1.725	3.372792
1.725	3.260792
1.765	3.475791
1.765	3.622792
1.765	3.470792
1.81	3.403792
1.81	3.404792
1.81	3.566792
1.845	3.565792
1.845	3.575792
1.845	3.565792
1.885	3.557791
1.885	3.715791
1.925	3.717792
1.925	3.739792
1.965	3.593791
1.965	3.549792
1.965	3.581792
2.005	3.723792
2.005	3.490792
2.085	3.075792
2.085	3.451791
2.125	3.596791
2.125	3.421792
2.165	3.434792
2.165	3.531791
2.165	2.944792
2.205	2.862792
2.205	3.018791
2.205	2.940792
2.245	3.206792
2.245	2.908792
2.285	3.370791
2.285	3.564791
2.285	3.342792
2.325	3.658792
2.365	3.076791
2.365	3.162791
2.405	3.324791
2.405	3.038792
2.405	3.228791
2.445	3.591792
2.445	3.577791
2.525	2.598792
2.525	4.102792
2.565	3.627792
2.565	3.653792
2.605	3.452791
2.605	3.571792
2.645	3.702791
2.645	3.595792
2.645	3.398792
2.685	3.724791
2.685	3.377792
2.685	3.429791
2.685	3.218791
2.685	3.732792
2.725	3.898792
2.725	3.931792
2.765	3.747792
2.765	3.757791
2.805	3.670792
2.805	3.623791
2.805	3.622792
2.845	3.731791
2.845	3.666792
2.845	3.613791
2.885	3.647792
2.885	3.783792
2.925	3.782792
2.925	3.813791
2.965	4.002792
2.965	3.885792
2.965	3.859791
3.005	3.938791
3.005	3.862792
3.045	2.965791
3.045	3.541792
3.085	3.914792
3.085	4.079792
3.085	3.867791
3.125	4.242791
3.125	4.085792
3.125	4.057791
3.165	4.170792
3.165	4.079792
3.165	3.878792
3.205	4.335792
3.205	4.117791
3.225	3.926791
3.225	3.769792
3.225	3.588792
3.245	3.964792
3.245	4.047791
3.245	3.952791
3.285	4.066792
3.285	4.052792
3.325	3.929792
3.485	4.135792
3.485	3.853791
3.485	3.747792
3.525	4.038791
3.525	3.978791
3.525	3.867791
3.565	3.954792
3.565	3.976792
3.565	3.869791
3.645	3.965791
3.645	4.001791
3.685	4.137792
3.685	3.849791
