depth	age	error	dR	dSTD	cc
0.01	1.26	0.055	0	0.2	2
0.3	1.89	0.14	0	0.2	2
0.59	3.01	0.055	0	0.2	2
0.65	2.94	0.065	0	0.2	2
0.85	3.56	0.06	0	0.2	2
1.02	4.54	0.01	0	0.2	2
1.03	4.71	0.14	0	0.2	2
1.13	4.92	0.06	0	0.2	2
1.55	7.77	0.09	0	0.2	2
1.75	9.21	0.15	0	0.2	2
2.02	11.15	0.31	0	0.2	2
2.83	12.8	0.13	0	0.2	2
2.83	12.5	0.045	0	0.2	2
3.89	14.8	0.2	0	0.2	2
5.41	15.5	0.14	0	0.2	2
6.51	16.2	0.39	0	0.2	2
7.31	17	0.14	0	0.2	2
8.51	17.5	0.13	0	0.2	2
8.51	17.75	0.16	0	0.2	2
10.52	18.4	0.16	0	0.2	2
13.02	20	0.16	0	0.2	2
14.505	20.6	0.18	0	0.2	2
17.265	23	0.21	0	0.2	2
17.73	22.9	0.2	0	0.2	2
18.375	24.6	0.3	0	0.2	2
19	26.6	0.3	0	0.2	2
19.91	32	0.5	0	0.2	2
20.4	34.8	0.78	0	0.2	2
21	38.3	1.09	0	0.2	2
21	36.5	0.42	0	0.2	2
21.67	42.4	1.79	0	0.2	2
