depth	d18O
0	2.92
0.05	2.82
0.1	2.6
0.14	2.67
0.15	3.14
0.18	2.81
0.22	2.85
0.25	3.19
0.26	3.06
0.3	2.83
0.32	2.87
0.34	3.37
0.35	2.88
0.36	2.84
0.38	3.29
0.4	2.93
0.42	3.31
0.44	2.96
0.46	3.17
0.48	3.22
0.5	2.95
0.53	3.21
0.54	3.17
0.57	3.09
0.58	3.35
0.6	3.09
0.62	3.15
0.64	3.19
0.65	3.05
0.66	2.54
0.68	2.95
0.73	2.98
0.74	3.11
0.78	3.1
0.86	3.12
0.9	2.94
0.94	3.11
0.95	3.1
0.98	3.12
1.02	3.18
1.06	3.24
1.14	3.3
1.38	3.15
1.42	3.27
1.46	3.26
1.48	3.06
1.53	3.19
1.58	3.21
1.62	3.05
1.7	3.27
1.74	3.45
1.78	3.44
1.82	3.76
1.85	3.53
1.86	3.69
1.9	3.47
1.94	3.61
1.95	3.59
1.98	3.83
2.02	3.78
2.06	4.02
2.1	3.94
2.14	3.75
2.18	3.97
2.71	4.18
2.75	4.18
2.79	4.07
2.83	4.14
2.87	4.16
2.91	4.15
2.95	4.25
3.26	4.35
4.75	4.47
