depth	d18O
0.175	2.14
0.2	2.26
0.22	2.34
0.27	2.26
0.3	2.33
0.32	2.95
0.4	2.23
0.47	3.48
0.5	2.22
0.52	2.3
0.575	2.37
0.575	3.28
0.6	2.12
0.62	3.01
0.67	2.37
0.7	2.23
0.72	2.31
0.78	2.24
0.87	2.38
0.9	2.26
0.92	2.41
0.98	2.16
1.02	2.33
1.07	2.54
1.1	2.27
1.12	2.39
1.175	2.33
1.22	2.37
1.27	2.41
1.3	2.4
1.32	2.63
1.37	2.54
1.375	2.57
1.4	2.61
1.42	2.47
1.47	2.47
1.48	2.47
1.52	2.36
1.575	2.43
1.6	2.42
1.62	2.59
1.67	2.72
1.7	2.69
1.72	3.2
1.775	2.91
1.8	2.9
1.8	2.94
1.82	2.95
1.87	2.97
1.9	2.8
1.92	2.99
1.975	2.6
2	2.63
2.07	3.03
2.1	3.22
2.12	3.18
2.175	3.21
2.2	3.37
2.225	3.02
2.27	3.33
2.3	3.18
2.32	3.15
2.385	3.22
2.4	3.21
2.42	3.28
2.47	3.35
2.5	3.14
2.52	3.35
2.6	3.24
2.62	3.23
2.67	3.37
2.7	3.3
2.72	3.35
2.775	2.99
2.8	3.29
2.82	3.4
2.87	3.39
2.9	3.38
2.92	3.63
2.965	3.35
2.98	3.33
3.02	3.33
3.07	3.32
3.08	2.55
3.12	3.53
3.175	3.17
3.18	3.53
3.22	3.61
3.27	3.53
3.28	3.52
3.335	3.57
3.37	3.98
3.38	3.97
3.42	4.11
3.47	4.04
3.48	3.88
3.535	4.12
3.57	4.24
3.58	4.12
3.62	4.2
3.67	4.35
3.68	4.27
3.77	4.31
3.78	4.4
3.82	4.32
3.87	4.4
3.88	4.35
3.935	4.25
3.97	4.4
3.98	4.28
4.02	4.35
4.07	4.24
4.08	4.28
4.135	4.12
4.17	4.32
4.18	3.91
4.22	4.38
4.27	4.39
4.28	4.24
4.335	4.11
4.37	4.23
4.38	4.22
4.42	4.28
4.47	4.27
4.535	4.19
4.57	4.26
4.58	4.27
4.62	4.29
4.67	4.24
4.68	4.25
4.735	4.18
4.77	4.27
4.78	4.27
4.82	4.32
4.87	4.3
4.88	4.31
4.935	4.2
4.97	4.28
4.98	4.24
5.02	4.22
5.07	4.27
5.08	4.26
5.135	4.23
5.17	4.25
5.18	4.21
5.22	4.3
5.22	4.18
5.27	4.29
5.28	4.3
5.335	4.19
5.37	4.32
5.38	4.24
5.42	4.23
5.47	4.26
5.48	4.33
5.535	4.13
5.57	4.23
5.58	4.31
5.62	4.32
5.67	4.22
5.68	4.21
5.77	4.15
5.78	4.22
5.82	4.28
5.87	4.26
5.88	4.26
5.935	4.07
5.97	4.23
6.02	4.15
6.07	4.05
6.08	4.17
6.135	4.09
6.17	4.15
6.18	4.22
6.22	4.06
6.27	4.13
6.28	4.21
6.335	4.23
6.335	4.02
6.37	4.1
6.38	4.18
6.42	4.21
6.47	4.2
6.48	4.23
6.535	4.06
6.57	4.19
6.58	4.15
6.62	4.27
6.68	4.34
6.735	4.36
6.77	4.21
6.78	4.14
6.97	4.4
6.98	4.3
7.02	4.42
7.07	4.21
7.08	4.31
7.135	4.05
7.17	4.08
7.18	4.25
7.22	4.29
7.27	4.19
7.28	4.26
7.335	4.13
7.37	4.25
7.38	4.16
7.42	4.19
7.44	4.12
7.475	4.04
7.52	4.12
7.57	4.07
7.58	4.12
7.62	3.95
7.67	3.97
7.68	3.98
7.72	4.23
7.735	3.86
7.77	4.12
7.78	4.14
7.82	4.03
7.87	3.97
7.88	4.07
7.935	3.86
7.97	4.05
7.98	3.96
8.02	4.14
8.07	4.06
8.08	4.07
8.135	3.97
8.17	3.96
8.18	4.04
8.22	3.87
8.27	3.89
8.28	3.91
8.37	3.98
8.38	4.02
8.42	3.98
8.47	4
8.48	4.05
8.535	4.02
8.57	3.88
8.58	4.06
8.62	3.89
8.67	3.76
8.68	3.82
8.735	3.96
8.77	3.93
8.78	4.04
8.82	3.87
8.87	3.91
8.88	4
8.925	3.91
8.94	4.04
8.97	3.82
9.02	3.88
9.07	3.93
9.17	3.96
9.18	4.07
9.22	3.92
9.27	3.95
9.28	3.79
9.325	3.69
9.37	3.77
9.38	4.02
9.425	3.82
9.47	3.83
9.48	4.01
9.525	3.86
9.565	3.79
9.58	3.9
9.625	3.87
9.665	4.05
9.68	3.74
9.705	3.81
9.725	3.76
9.77	3.89
9.78	4.03
9.82	3.98
9.87	3.91
9.88	3.9
9.925	3.81
9.97	3.8
9.98	3.69
10.02	3.94
10.055	3.77
10.07	3.99
10.08	3.96
10.105	3.96
10.125	3.84
10.145	3.8
10.17	3.78
10.18	3.9
10.205	3.9
10.22	3.93
