depth	d18O
0.01	2.93
0.01	3.06
0.03	3.12
0.03	3.17
0.07	3.14
0.07	3.02
0.1	2.98
0.1	3.07
0.13	3.09
0.13	3.14
0.17	3.24
0.17	3.41
0.2	3.23
0.2	3.16
0.23	3.87
0.23	3.27
0.27	3.88
0.3	3.72
0.3	3.76
0.33	4.41
0.33	3.99
0.37	4.03
0.37	3.98
0.4	4.13
0.4	4.14
0.43	4.74
0.43	4.98
0.47	3.14
0.47	3.28
0.5	4.79
0.5	3.28
0.53	4.8
0.53	5.03
0.57	4.95
0.57	4.52
0.6	4.88
0.6	4.92
0.63	4.89
0.63	5.03
0.67	4.84
0.67	5.03
0.7	4.79
0.7	4.79
0.73	4.93
0.77	4.84
0.77	4.76
0.8	4.78
0.8	4.8
0.83	4.94
0.87	4.77
0.87	4.9
0.9	4.78
0.9	4.72
0.93	4.8
0.93	4.73
0.97	4.72
0.97	4.81
1	4.6
1	4.72
1.03	4.72
1.03	4.76
1.07	4.66
1.07	4.6
1.1	4.67
1.1	4.66
1.13	4.41
1.17	4.48
1.17	4.48
1.2	4.46
1.2	4.53
1.23	4.58
1.23	4.69
1.27	4.57
1.27	4.52
1.3	4.5
1.3	4.34
1.33	4.37
1.33	4.59
1.37	4.5
1.37	4.5
1.4	4.36
1.4	4.36
1.43	4.37
1.43	4.36
1.47	4.35
1.47	4.63
1.5	4.4
1.5	4.46
1.53	4.53
1.53	4.22
1.57	4.31
1.57	4.42
1.6	4.3
1.6	4.34
1.63	4.45
1.63	4.18
1.67	4.36
1.7	4.4
1.7	4.5
1.73	4.51
1.73	4.07
1.77	4.13
1.77	4.22
1.8	4.42
1.8	4.25
1.83	4.28
1.83	4.31
1.83	4.44
1.87	4.27
1.9	4.35
1.9	4.34
1.93	4.43
1.93	4.4
1.97	4.4
1.97	4.46
2	4.42
2	4.47
2.03	4.51
2.03	4.39
2.07	4.37
2.07	4.33
2.1	4.49
2.1	4.42
2.13	4.32
2.13	4.38
2.17	4.31
2.17	4.26
2.2	4.24
2.2	4.37
2.23	4.2
2.23	4.18
2.27	4.18
2.27	3.96
2.3	4.14
2.3	4.11
2.32	4.33
2.32	4.05
2.34	4.23
2.34	4.51
2.36	4.42
2.36	4.34
2.38	4.41
2.38	4.41
2.4	4.33
2.4	4.44
2.4	4.46
2.42	4.42
2.42	4.34
2.42	4.54
2.44	4.37
2.44	4.35
2.44	4.39
2.46	4.51
2.46	4.43
2.46	4.24
2.48	4.42
2.48	4.42
2.48	4.5
2.48	4.38
2.5	4.39
2.5	4.19
2.52	4.27
2.52	4.41
2.52	4.33
2.54	4.21
2.54	4.34
2.54	4.22
2.56	4.28
2.56	4.38
2.58	4.3
2.58	4.26
2.6	4.14
2.6	4.3
2.62	4.22
2.62	4.28
2.64	4.07
2.64	4.24
2.66	3.98
2.66	4.1
2.68	4.5
2.68	4.17
2.7	4.17
2.7	4.33
2.72	4.19
2.72	4.28
2.74	4.32
2.74	4.06
2.76	4.1
2.76	4.31
2.78	4.28
2.78	4.39
2.8	4.05
2.8	4.24
2.82	4.2
2.82	4.39
2.84	4.36
2.84	4.07
2.86	4.14
2.86	4.23
2.88	4.3
2.88	4.18
2.9	4.35
2.9	4.29
2.92	4.45
2.92	4.12
2.94	4.09
2.94	4.24
2.96	4.55
2.96	4.39
2.98	4.22
2.98	4.64
3	4.22
3	4.01
3.02	4.14
3.02	4.46
3.04	4.63
3.04	4.36
3.06	4.59
3.06	4.45
3.08	4.57
3.08	4.49
3.1	4.48
3.1	4.47
3.12	4.55
3.12	4.54
3.14	4.62
3.14	4.37
3.16	4.41
3.16	4.54
3.16	4.46
3.18	4.58
3.18	4.6
3.2	4.51
3.2	4.52
3.22	4.68
3.22	4.34
3.24	4.57
3.24	4.44
3.26	4.6
3.26	4.47
3.28	4.41
3.28	4.52
3.3	4.52
3.3	4.31
3.32	4.55
3.32	4.48
3.34	4.56
3.34	4.57
3.36	4.53
3.36	4.52
3.38	4.47
3.4	4.4
3.4	4.43
3.42	4.52
3.42	4.5
3.44	4.45
3.44	4.4
3.46	4.37
3.46	4.54
3.48	4.36
3.48	4.39
3.5	4.45
3.5	4.31
3.6	3.99
3.6	4.28
3.6	4.27
3.7	4.07
3.7	4.21
3.8	3.87
3.8	3.78
3.9	3.75
3.9	3.92
4	3.63
4	3.75
4.1	3.58
4.1	3.64
4.2	3.8
4.2	4.17
4.3	4.12
4.3	4.12
4.4	3.9
4.4	4.02
4.5	4
4.5	3.9
4.6	3.58
4.6	3.6
4.7	3.78
4.7	3.7
4.7	3.69
4.8	3.58
4.8	3.61
4.9	3.64
4.9	3.69
5	3.91
5	3.74
5.1	3.75
5.1	3.88
5.2	3.94
5.2	3.92
5.3	4.21
5.3	4.21
5.4	3.92
5.4	3.9
5.5	3.75
5.5	3.77
5.6	3.45
5.6	2.94
5.7	2.98
5.7	2.95
5.8	3.18
5.8	2.85
5.9	4.02
5.9	4.11
6	4.59
6	4.67
6.1	4.71
6.1	4.73
6.2	4.86
6.2	4.92
6.3	4.78
6.4	4.5
6.4	4.57
6.5	4.64
6.5	4.5
6.5	4.53
6.6	4.49
6.6	4.67
6.7	4.5
6.7	4.68
