depth	age	error	dR	dSTD	cc
0.01	0.751	0.028	0	0.2	2
0.02	1.058	0.026	0	0.2	2
0.22	4.982	0.034	0	0.2	2
0.61	8.879	0.053	0	0.2	2
0.71	9.481	0.057	0	0.2	2
0.81	9.895	0.049	0	0.2	2
0.9	10.375	0.051	0	0.2	2
0.91	10.397	0.052	0	0.2	2
0.96	10.87	0.056	0	0.2	2
0.97	10.893	0.06	0	0.2	2
1.07	11.497	0.068	0	0.2	2
1.11	11.716	0.068	0	0.2	2
1.17	12.424	0.08	0	0.2	2
1.26	13.135	0.079	0	0.2	2
1.27	13.272	0.084	0	0.2	2
1.32	13.817	0.062	0	0.2	2
1.41	14.309	0.076	0	0.2	2
1.43	14.501	0.063	0	0.2	2
1.56	15.818	0.106	0	0.2	2
1.57	16.125	0.11	0	0.2	2
1.63	16.783	0.086	0	0.2	2
1.63	17.11	0.105	0	0.2	2
1.81	19.658	0.136	0	0.2	2
1.81	19.783	0.118	0	0.2	2
