depth	d18O
0.01	2.66
0.04	2.69
0.12	2.97
0.16	2.58
0.2	2.82
0.2	2.97
0.24	2.63
0.24	2.7
0.28	2.79
0.28	2.66
0.32	2.99
0.4	3.09
0.48	2.97
0.52	2.73
0.56	3.08
0.6	3.09
0.64	3.14
0.68	3.11
0.72	3
0.76	3.19
0.8	3.33
0.82	3.24
0.84	3.16
0.86	3.25
0.94	3.41
0.98	3.26
1	3.32
1.02	3.45
1.04	3.29
1.06	3.26
1.1	3.32
1.16	3.2
1.18	3.39
1.2	3.43
1.2	3.3
1.22	3.34
1.24	3.41
1.26	2.9
1.28	3.61
1.28	3.21
1.32	3.6
1.34	3.46
1.36	3.54
1.38	3.53
1.4	3.62
1.42	3.52
1.56	3.66
1.72	3.72
2.46	3.87
2.48	3.28
2.5	3.15
2.52	3.13
2.54	4.21
2.56	3.41
2.58	2.72
2.72	3.15
2.76	3.77
2.86	3.76
2.96	3.83
3	3.93
3.02	3.83
3.22	3.43
3.24	4.08
3.24	3.96
3.28	4.25
