depth	age	error	dR	dSTD	cc
0.28	4.52	0.05	0	0.2	2
0.43	7.07	0.04	0	0.2	2
1.03	12.15	0.05	0	0.2	2
1.05	12.355	0.03	0	0.2	2
1.075	12.64	0.025	0	0.2	2
1.08	12.68	0.07	0	0.2	2
1.1	12.93	0.025	0	0.2	2
1.125	13.05	0.03	0	0.2	2
1.15	13.22	0.07	0	0.255	2
1.175	13.215	0.03	0	0.255	2
1.2	13.41	0.11	0	0.255	2
1.225	13.46	0.07	0	0.255	2
1.25	13.48	0.07	0	0.255	2
1.275	13.66	0.07	0	0.14	2
1.3	13.74	0.12	0	0.14	2
1.325	13.7	0.07	0	0.14	2
1.35	13.87	0.07	0	0.14	2
1.375	14.06	0.06	0	0.14	2
1.38	14.06	0.06	0	0.2	2
1.4	14.03	0.12	0	0.14	2
1.425	13.85	0.07	0	0.14	2
1.45	14.56	0.07	0	0.045	2
1.475	14.52	0.08	0	0.045	2
1.5	14.55	0.13	0	0.045	2
1.525	15.5	0.09	0	0.195	2
1.55	15.17	0.09	0	0.195	2
1.565	15.58	0.06	0	0.195	2
1.575	15.72	0.09	0	0.2	2
1.585	15.83	0.06	0	0.2	2
1.6	15.88	0.11	0	0.2	2
1.625	16.07	0.11	0	0.2	2
1.65	16.22	0.16	0	0.2	2
1.675	16.39	0.1	0	0.2	2
1.7	16.68	0.14	0	0.19	2
1.75	16.7	0.09	0	0.19	2
1.765	16.85	0.07	0	0.2	2
1.775	17.16	0.11	0	0.24	2
1.8	17.59	0.18	0	0.24	2
1.825	17.41	0.12	0	0.24	2
1.83	17.14	0.13	0	0.2	2
1.85	17.61	0.19	0	0.24	2
1.875	17.225	0.04	0	0.24	2
1.9	17.95	0.17	0	0.2	2
1.925	17.87	0.13	0	0.2	2
1.95	17.99	0.19	0	0.2	2
1.965	18.35	0.07	0	0.2	2
1.975	18.65	0.14	0	0.29	2
2	18.76	0.18	0	0.29	2
2.025	18.89	0.14	0	0.29	2
2.05	18.69	0.19	0	0.29	2
2.075	18.73	0.15	0	0.29	2
2.1	19.25	0.19	0	0.2	2
2.125	21.25	0.16	0	0.2	2
2.15	20.81	0.25	0	0.2	2
2.175	21.29	0.17	0	0.2	2
2.2	21.29	0.28	0	0.2	2
2.225	20.2	0.15	0	0.2	2
2.25	21.63	0.31	0	0.2	2
2.275	21.49	0.17	0	0.2	2
2.3	21.8	0.28	0	0.2	2
2.325	21.58	0.17	0	0.2	2
2.35	22.64	0.37	0	0.2	2
2.375	23.51	0.22	0	0.2	2
2.4	23.58	0.42	0	0.2	2
2.425	18.74	0.13	0	0.2	2
2.43	18.74	0.13	0	0.2	2
2.45	25.04	0.49	0	0.2	2
2.5	25.49	0.49	0	0.2	2
2.88	29.13	0.24	0	0.2	2
3.33	35.37	1.09	0	0.2	2
