depth	d18O
0.08	4.481
0.08	4.464
0.12	4.511
0.12	4.556
0.12	4.505
0.16	4.492
0.16	4.573
0.16	4.531
0.2	4.514
0.2	4.489
0.2	4.526
0.24	4.536
0.24	4.476
0.28	4.497
0.28	4.519
0.32	4.531
0.32	4.548
0.36	4.437
0.36	4.381
0.36	4.532
0.4	4.385
0.4	4.509
0.4	4.526
0.45	4.44
0.45	4.46
0.48	4.517
0.48	4.457
0.52	4.495
0.56	4.492
0.56	4.5471
0.6	4.4111
0.6	4.385
0.64	4.444
0.64	4.507
0.68	4.428
0.68	4.526
0.68	4.483
0.72	4.376
0.72	4.435
0.76	4.458
0.76	4.414
0.8	4.436
0.8	4.545
0.84	4.456
0.84	4.529
0.88	4.396
0.88	4.446
0.92	4.54
0.92	4.469
0.96	4.332
0.96	4.44
0.96	4.5
0.96	4.334
1	4.476
1	4.493
1.04	4.374
1.04	4.403
1.08	4.511
1.08	4.408
1.12	4.213
1.12	4.422
1.12	4.415
1.12	4.353
1.16	4.275
1.16	4.21
1.16	4.195
1.2	4.324
1.2	4.337
1.24	4.397
1.24	4.344
1.28	4.363
1.28	4.408
1.28	4.26
1.32	4.303
1.32	4.369
1.32	4.259
1.36	4.305
1.36	4.299
1.39	4.303
1.39	4.321
1.39	4.3871
1.44	4.354
1.44	4.358
1.49	4.372
1.49	4.334
1.52	4.297
1.52	4.385
1.52	4.409
1.56	4.309
1.56	4.308
1.6	4.236
1.6	4.392
1.6	4.284
1.64	4.331
1.64	4.337
1.64	4.339
1.68	5.169
1.68	4.242
1.68	4.297
1.72	5.326
1.72	4.307
1.72	4.311
1.76	4.331
1.76	4.334
1.8	4.332
1.8	4.376
1.84	4.31
1.84	4.282
1.88	4.255
1.88	4.177
1.92	4.136
1.92	4.192
1.96	4.121
1.96	4.279
1.96	4.1471
2.04	4.168
2.04	4.218
2.08	4.16
2.08	4.306
2.08	4.0371
2.08	4.117
2.12	4.278
2.12	4.115
2.12	4.2181
2.12	4.218
2.16	4.04
2.16	4.078
2.16	4.1981
2.2	3.963
2.2	3.931
2.24	4.271
2.24	4.121
2.24	4.3101
2.24	4.26
2.28	4.308
2.28	3.962
2.28	4.1621
2.28	4.365
2.32	4.053
2.32	4.009
2.36	4.499
2.36	4.184
2.36	4.257
2.4	4.122
2.4	4.089
2.4	4.0451
2.44	3.737
2.44	4.047
2.44	4.0031
2.48	4.031
2.48	4.01
2.48	3.9681
2.52	4.222
2.52	3.802
2.52	4.2051
2.56	4.248
2.56	4.157
2.6	4.063
2.6	4.154
2.64	3.758
2.64	3.804
2.68	3.892
2.68	3.887
2.68	3.7901
2.72	4.033
2.72	3.842
2.72	3.9511
2.72	4.119
2.72	3.94
2.76	4.056
2.76	3.979
2.8	4.017
2.8	4.113
2.84	5.194
2.84	4.047
2.84	4.172
2.88	4.139
2.88	4.182
2.92	4.179
2.92	4.088
2.96	3.987
2.96	4.227
2.96	4.235
3	4.763
3	4.134
3.04	4.022
3.04	4.121
3.08	4.155
3.08	3.999
3.12	4.813
3.12	4.052
3.12	3.968
3.16	4.114
3.16	4.106
3.16	4.092
3.2	4.013
3.2	4.083
3.24	4.069
3.24	4.121
3.24	4.022
3.28	3.954
3.28	4.004
3.32	4.136
3.32	3.94
3.36	4.096
3.36	3.969
3.4	3.995
3.44	4.264
3.48	4.02
3.52	4.154
3.52	4.188
3.56	4.113
3.6	4.157
3.6	3.841
3.6	4.146
3.64	3.721
3.68	3.843
3.68	3.791
3.72	3.801
3.76	4.024
3.76	3.987
3.8	3.932
3.84	4.03
3.84	3.989
3.84	4.234
3.88	4.279
3.88	4.232
3.92	4.001
3.92	4.234
3.92	4.304
3.96	4.127
3.96	3.793
3.96	3.864
3.96	3.914
4	4.189
4	3.94
4	4.275
4.04	4.056
4.04	4.11
4.08	4.07
4.08	4.205
4.08	4.114
4.12	4.094
4.12	4.042
4.16	3.957
4.16	4.126
4.16	4.127
4.2	4.056
4.2	4.091
4.24	4.219
4.24	4.101
4.28	4.06
4.28	4.125
4.32	4.702
4.32	4.209
4.32	4.062
4.36	4.083
4.36	4.088
4.36	3.85
4.36	4.334
4.36	3.858
4.4	4.153
4.4	4.085
4.4	4.096
4.44	4.091
4.44	3.944
4.44	4.021
4.48	4.014
4.48	4.067
4.48	4.113
4.52	4.016
4.52	4.127
4.56	3.941
4.56	4.059
4.6	3.966
4.6	4.02
4.64	3.804
4.64	3.952
4.68	3.865
4.68	3.911
4.68	3.71
4.72	3.839
4.72	3.994
4.76	3.706
4.76	3.946
4.76	3.885
4.8	3.882
4.8	3.865
4.84	3.962
4.84	3.81
4.84	3.879
4.88	3.876
4.88	4.005
4.88	3.864
4.92	3.822
4.92	3.822
4.96	4.024
4.96	3.992
5	3.72
5	3.889
5	3.877
5.04	3.815
5.04	3.811
5.04	3.949
5.08	4.077
5.08	3.816
5.08	3.954
5.12	4.122
5.12	4.257
5.12	4.157
5.16	4.123
5.16	4.186
5.2	4
5.2	4.202
5.2	4.153
5.24	3.815
5.24	3.805
5.28	3.816
5.28	4.058
5.32	3.996
5.32	4.018
5.36	3.821
5.4	3.975
5.4	3.972
5.44	4.109
5.44	4.121
5.48	3.813
5.48	3.766
5.52	3.812
5.52	3.959
5.56	3.978
5.56	3.951
5.6	3.777
5.6	3.799
