depth	d18O
0.06	3.12
0.06	3.17
0.09	3.2
0.09	3.19
0.09	3.2
0.13	3.28
0.13	3.78
0.13	4.01
0.17	4.09
0.17	3.98
0.17	3.38
0.21	3.68
0.21	4.33
0.21	3.71
0.25	5.34
0.25	4.78
0.29	4.73
0.29	4.85
0.29	4.52
0.33	3.2
0.33	4.93
0.33	4.82
0.37	4.95
0.37	4.9
0.37	4.41
0.41	5.18
0.41	5.26
0.41	4.53
0.45	5.31
0.45	5.1
0.45	5.12
0.49	5.07
0.49	5.28
0.49	5.05
0.53	5.11
0.53	5.19
0.53	5.08
0.57	4.99
0.57	5
0.57	5.07
0.61	5.03
0.61	5.22
0.61	4.7
0.65	5.01
0.65	5.15
0.69	5.2
0.69	5.09
0.73	5.25
0.73	4.98
0.77	5.09
0.77	5.25
0.81	5.14
0.81	5.13
0.85	5.23
0.85	4.96
0.89	5.03
0.89	4.98
0.93	5.12
0.93	4.97
0.97	5.06
0.97	4.96
