depth	d18O
0.005	3.130265
0.005	2.844842
0.005	2.774842
0.045	3.157265
0.045	3.526265
0.045	3.102842
0.085	3.622265
0.085	3.154842
0.085	3.139842
0.085	3.009265
0.125	3.142842
0.125	2.772265
0.125	3.098265
0.165	2.824265
0.165	2.758842
0.205	3.224842
0.205	3.111265
0.245	2.859265
0.245	2.966842
0.245	3.007842
0.245	3.401265
0.285	2.845265
0.285	2.664842
0.325	2.726265
0.325	2.809842
0.325	2.893842
0.365	2.972265
0.365	2.980842
0.405	2.907842
0.405	2.958842
0.405	2.885265
0.445	2.903265
0.445	2.919842
0.445	2.890265
0.485	2.860842
0.485	2.900265
0.485	3.035842
0.525	2.814265
0.525	2.848842
0.565	2.933842
0.565	2.693842
0.565	2.915842
0.605	2.808265
0.605	2.883842
0.605	2.790265
0.645	2.730842
0.645	3.106265
0.645	2.974842
0.645	2.712842
0.685	2.659265
0.685	2.917842
0.725	2.815265
0.725	2.739842
0.725	2.937842
0.765	2.735265
0.765	2.607842
0.765	2.549842
0.805	2.726842
0.805	2.855842
0.805	3.064265
0.845	2.841265
0.845	2.858842
0.845	2.564265
0.885	2.804842
0.885	2.859842
0.925	3.114265
0.925	2.922842
0.925	2.843842
0.965	2.886842
0.965	2.637265
0.965	3.014842
1.005	2.789842
1.005	2.876265
1.045	2.815842
1.045	2.837265
1.045	2.883842
1.085	2.655265
1.085	2.908265
1.125	2.819842
1.125	2.853842
1.165	2.902265
1.165	2.999265
1.165	2.969842
1.205	2.811842
1.205	2.938842
1.245	2.842265
1.245	2.738265
1.285	2.876842
1.285	3.070842
1.285	3.052265
1.325	3.062842
1.325	2.965265
1.325	3.028265
1.36	3.003265
1.36	2.936842
1.405	3.110842
1.405	2.912265
1.405	2.987265
1.445	2.812842
1.485	3.020842
1.485	2.999265
1.525	3.039265
1.525	3.020842
1.565	2.901265
1.605	3.171842
1.605	2.913842
1.605	2.933265
1.645	3.116842
1.645	3.015265
1.645	3.190265
1.685	3.020265
1.685	2.711842
1.685	3.056842
1.725	3.062265
1.725	2.952265
1.725	3.014842
1.765	3.010842
1.805	2.831265
1.805	3.003842
1.805	3.020265
1.845	3.164842
1.845	2.923842
1.885	2.939265
1.885	2.807842
1.925	3.018265
1.925	2.877842
1.925	2.850842
1.965	2.904842
1.965	3.104265
1.965	2.999265
2.005	2.945265
2.005	3.130842
2.005	3.011265
2.045	2.974265
2.045	3.051842
2.045	3.069265
2.085	3.061842
2.085	3.099842
2.085	3.198265
2.125	3.155265
2.125	2.988265
2.125	3.082842
2.165	3.148265
2.165	3.082842
2.165	3.106842
2.205	2.912842
2.205	3.209265
2.205	3.249265
2.245	2.986842
2.245	2.573842
2.245	3.087265
2.285	3.648265
2.285	3.707265
2.285	3.447842
2.325	3.663842
2.325	3.537265
2.325	3.707842
2.365	3.418265
2.365	3.269265
2.365	3.670842
2.405	3.157265
2.405	3.523842
2.405	3.430842
2.445	3.528842
2.445	3.300265
2.445	3.397265
2.485	3.266842
2.485	3.587842
2.485	3.242265
2.525	3.155842
2.525	3.052265
2.525	3.827265
2.565	3.718842
2.565	3.334265
2.565	3.372842
2.605	3.189265
2.605	3.286842
2.605	3.527265
2.645	3.288265
2.685	3.365265
2.685	3.621842
2.685	3.884265
2.725	3.542842
2.725	3.777265
2.725	3.797842
2.765	3.732265
2.765	3.777265
2.765	3.844842
2.805	3.911842
2.805	3.722842
2.805	3.742265
2.845	3.825265
2.845	3.820842
2.845	3.972265
2.885	3.909842
2.885	3.570265
2.925	3.495842
2.925	4.172265
2.965	3.815842
2.965	3.793842
2.965	3.558265
3.005	4.186265
3.005	4.160842
3.005	4.254265
3.045	4.260842
3.045	4.316842
3.045	4.333265
3.085	4.258842
3.085	4.370265
3.125	4.206265
3.165	4.216265
3.165	4.368842
3.165	4.321265
3.205	4.166842
3.205	4.198842
3.205	4.318265
3.245	4.238265
3.245	4.247842
3.245	4.472265
3.285	4.290842
3.285	4.143265
3.285	4.200842
3.325	4.196265
3.325	4.214842
3.325	4.420265
3.365	4.048842
3.365	4.274265
3.365	3.976842
3.405	4.148265
3.405	3.917265
3.405	4.218842
3.445	4.229842
3.445	4.139842
3.445	4.147265
3.485	4.158265
3.485	4.183265
3.485	3.974842
3.525	4.049842
3.525	3.877842
3.525	4.118265
3.565	4.288265
3.565	4.260842
3.565	4.285265
3.605	3.810842
3.605	3.743842
3.605	4.275265
3.645	4.166265
3.645	4.044265
3.645	4.231842
3.685	4.217842
3.685	4.303265
3.685	3.840842
3.725	4.175265
3.725	3.935842
3.725	3.676265
3.765	3.568842
3.765	4.027842
3.765	4.079265
3.805	4.017265
3.805	4.201265
3.805	4.251842
3.845	4.003842
3.845	4.154265
3.845	4.030842
3.885	3.834842
3.885	4.048842
3.885	3.642265
3.925	3.915842
3.925	3.980842
3.925	3.638265
3.965	4.166265
3.965	4.127265
3.965	4.188842
