depth	d18O
0	3.078
0	2.683
0.1	2.713
0.1	2.838
0.2	2.837
0.2	2.932
0.3	3.017
0.4	2.816
0.4	2.865
0.5	3.279
0.5	3.166
0.6	3.78
0.6	4.079
0.7	3.803
0.7	3.823
0.8	3.649
0.8	3.73
0.9	4.089
0.9	4.013
1	4.118
1	4.403
1.1	4.534
1.3	4.725
1.3	4.757
1.3	4.725
1.3	4.757
1.4	4.385
1.4	4.691
1.6	4.663
1.6	4.517
1.6	4.695
1.6	4.793
1.7	4.631
1.7	4.451
1.7	4.322
1.7	4.326
1.8	4.314
1.8	4.273
1.8	4.33
1.8	4.431
1.9	4.164
1.9	4.182
1.9	4.598
1.9	4.185
2	4.168
2.1	4.332
2.1	4.284
2.2	4.42
2.2	4.481
2.3	4.503
2.3	4.435
2.4	4.602
2.4	4.349
2.6	4.18
2.6	4.364
2.7	4.262
2.7	4.323
2.8	4.063
2.8	4.027
2.9	4.386
3	4.307
3	4.394
3.1	4.326
3.1	4.313
3.2	4.136
3.2	4.311
3.3	4.337
3.3	4.378
3.3	4.336
3.3	4.279
3.4	4.306
3.4	4.29
3.4	4.376
3.4	4.369
3.5	4.406
3.5	4.399
3.5	4.304
3.5	4.247
3.6	4.336
3.6	4.241
3.6	4.274
3.6	4.27
3.7	3.995
3.7	4.171
3.8	4.331
3.8	4.2
3.9	4.026
4	4.06
4	4.015
4.1	3.758
4.1	4.199
4.2	4.213
4.2	4.278
4.3	4.238
4.3	4.257
4.3	4.315
4.4	4.224
4.4	4.364
4.4	4.247
4.4	4.373
