Depth	d18O
0.01	2.77
0.01	2.98
0.01	3.38
0.01	2.94
0.01	2.94
0.02	2.99
0.02	3.44
0.02	3.22
0.02	3.08
0.05	3.02
0.1	3.31
0.1	3.2
0.1	3.27
0.1	3.33
0.1	3.52
0.145	3.44
0.145	3.64
0.145	3.38
0.15	3.2
0.2	3.45
0.2	3.44
0.2	3.56
0.275	3.94
0.325	3.99
0.375	4.05
0.4	3.79
0.425	4.01
0.425	3.96
0.45	3.9
0.45	3.95
0.45	4.15
0.45	4.01
0.475	4.06
0.5	4.15
0.5	4.39
0.525	4.29
0.525	4.31
0.85	4.34
0.85	4.62
0.9	4.46
0.95	4.57
0.975	4.41
1.11	4.71
1.11	4.47
1.19	4.79
1.35	4.59
1.35	4.73
1.35	4.65
1.35	4.74
1.39	4.49
1.64	5
1.68	4.92
1.72	4.81
2	4.65
