depth	d18O
-0	3.91589602212975
0.05	3.9001644548228
0.1	3.88136254911658
0.15	3.85349051701247
0.2	3.82145966918521
0.25	3.80514317269056
0.3	3.81558408916866
0.35	3.82916509897935
0.4	3.82936237400715
0.45	3.84488170997249
0.5	3.87063823293448
0.55	3.8905281276132
0.6	3.89297797330865
0.65	3.87872403992799
0.7	3.87423453277578
0.75	3.89761551191712
0.8	3.93488965173573
0.85	3.985671238037
0.9	4.0609796375206
0.95	4.18050913245979
1	4.28948571443663
1.05	4.36450734871465
1.1	4.44401394050936
1.15	4.58307670223498
1.2	4.6974109236207
1.25	4.76904426171101
1.3	4.85974580149465
1.35	4.9442120148874
1.4	4.98764732540273
1.45	5.05045166391592
1.5	5.17542810944334
1.55	5.29881052505838
1.6	5.41811108911789
1.65	5.52219602311211
1.7	5.57120039463091
1.75	5.60182542265766
1.8	5.63993599603776
1.85	5.64236078621575
1.9	5.6170639164711
1.95	5.55101600452116
2	5.50248361516582
2.05	5.50460922760371
2.1	5.51257593653416
2.15	5.51147591277271
2.2	5.51784252917011
2.25	5.52060551730833
2.3	5.51599881242377
2.35	5.49695560282476
2.4	5.44685674246915
2.45	5.42025371637606
2.5	5.44425748409035
2.55	5.45355068957135
2.6	5.42509720463007
2.65	5.38781796139985
2.7	5.35975909620005
2.75	5.33087974833227
2.8	5.29444225702344
2.85	5.24906291940318
2.9	5.23078798607991
2.95	5.24334433337379
3	5.25234964374747
