depth	d18O
0.02	2.35
0.02	2.49
0.02	2.43
0.02	2.54
0.04	2.44
0.04	2.51
0.04	2.52
0.04	2.51
0.06	2.27
0.06	2.5
0.06	2.38
0.06	2.66
0.1	2.42
0.1	2.37
0.1	2.4
0.1	2.46
0.12	2.66
0.12	2.55
0.12	2.43
0.12	2.54
0.14	2.47
0.14	2.85
0.14	2.71
0.14	2.44
0.18	2.45
0.18	2.56
0.18	2.72
0.18	2.49
0.2	2.7
0.2	2.58
0.2	2.66
0.2	2.51
0.22	2.78
0.22	2.51
0.22	2.68
0.22	2.65
0.26	2.74
0.26	2.7
0.26	2.76
0.26	2.84
0.28	2.73
0.28	2.81
0.28	2.71
0.28	2.86
0.3	2.68
0.3	2.61
0.3	2.85
0.3	3.05
0.34	3.24
0.34	2.95
0.34	3.36
0.34	3.26
0.36	3.33
0.36	3.35
0.36	3.35
0.36	3.55
0.38	3.54
0.38	3.48
0.38	3.83
0.42	3.87
0.42	3.91
0.44	4.18
0.44	4.32
0.44	4.31
0.46	4.05
0.46	4.37
0.5	4.1
0.52	4.58
0.52	4.42
0.54	4.14
0.54	3.94
0.54	4.07
0.54	4.02
0.58	4.32
0.58	4.33
0.58	4.27
0.6	4.41
0.6	4.37
0.6	4.32
0.62	4.42
0.62	4.34
0.62	4.22
0.66	4.33
0.66	4.29
0.66	4.14
0.66	4.29
0.68	4.19
0.68	4.16
0.68	4.29
0.68	4.28
0.7	4.29
0.7	4.22
0.7	4.27
0.7	4.32
0.74	4.24
0.74	4.24
0.74	4.3
0.76	4.39
0.76	4.2
0.76	4.18
0.78	4.2
0.78	4.32
0.78	4.15
0.78	4.17
0.82	4.22
0.82	4.2
0.82	4.16
0.82	4.13
0.84	4.14
0.84	4.77
0.84	4.22
0.84	4.24
0.86	4.17
0.86	4.23
0.86	4.1
0.86	4.33
0.9	4.51
0.9	4.13
0.9	4.19
0.9	4.4
0.92	4.28
0.92	4.33
0.92	4.41
0.92	4.3
0.94	4.15
0.94	4.42
0.94	4.14
0.94	4.37
0.98	4.01
0.98	4.3
0.98	4.03
0.98	4.24
1	4.17
1	4.23
1	4.24
1	4.22
