depth	d18O
0.005	2.49
0.045	2.5
0.085	2.25
0.125	2.36
0.165	2.53
0.205	2.48
0.245	2.5
0.285	2.27
0.325	2.33
0.365	2.29
0.405	2.48
0.485	2.47
0.525	2.42
0.565	2.41
0.605	2.76
0.645	3.22
0.685	3.43
0.725	3.54
0.765	3.66
0.805	3.55
0.845	3.33
0.885	3.69
0.925	3.81
0.965	3.81
1.005	3.83
1.045	3.85
1.085	3.79
1.125	4.14
1.165	3.85
1.205	3.94
1.245	4.26
1.285	4.22
1.325	4.25
1.365	4.25
1.405	4.3
1.445	4.43
1.485	4.38
1.525	4.37
1.605	4.2
1.645	4.09
1.685	4.28
1.725	4.18
1.765	4.34
1.805	4.18
1.845	4.24
1.885	4.16
1.925	4.23
1.965	4.15
2.005	4.3
