Depth	d18O
0.01	2.53
0.01	2.55
0.02	2.52
0.05	2.46
0.05	2.51
0.05	2.37
0.09	2.47
0.09	2.38
0.09	2.71
0.13	2.27
0.13	2.33
0.13	2.64
0.17	2.75
0.17	2.47
0.17	2.45
0.21	3.31
0.21	3.23
0.21	3.34
0.25	3.52
0.25	3.14
0.25	3.04
0.29	3.27
0.29	3.45
0.29	3.41
0.33	3.61
0.33	3.38
0.33	3.32
0.37	3.46
0.37	3.72
0.37	3.54
0.41	3.52
0.41	3.15
0.41	3.69
0.45	3.76
0.45	3.79
0.49	3.89
0.49	3.86
0.49	3.77
0.53	3.93
0.53	3.84
0.53	3.9
0.57	3.95
0.57	3.97
0.57	3.8
0.61	3.89
0.61	3.94
0.65	3.83
0.65	3.93
0.69	3.48
0.69	3.68
0.73	3.68
0.73	3.74
0.77	3.67
0.81	3.54
0.81	3.55
0.85	4.23
0.85	4.24
0.89	4.16
0.89	4.82
0.93	4.22
0.93	4.37
0.97	4.28
0.97	4.34
1.01	4.35
1.01	4.28
1.05	4.46
1.05	4.27
1.09	4.5
1.09	4.27
1.13	4.43
1.13	4.46
1.17	4.51
1.17	4.41
1.21	4.88
1.21	4.44
1.25	4.39
1.25	4.53
1.29	4.57
1.29	4.37
1.33	4.39
1.33	4.41
1.37	4.41
1.37	4.32
1.41	4.55
1.41	4.46
1.45	4.21
1.45	4.44
1.49	4.29
1.49	4.31
1.53	4.44
1.53	4.36
1.57	4.31
1.57	4.44
1.65	4.17
1.69	4.46
1.69	4.48
1.73	4.45
1.76	4.33
1.8	4.38
