depth	d18O
0.005	1.37
0.0175	1.1
0.0225	1.28
0.0275	1.3
0.0325	1.24
0.0375	1.29
0.0425	1.22
0.0475	1.26
0.0525	1.2
0.0575	1.24
0.0625	1.29
0.0675	1.22
0.0725	0.98
0.0775	1.21
0.085	1.29
0.0925	1.2
0.0975	1.22
0.1025	1.11
0.1075	1.16
0.1125	1.15
0.1175	1.23
0.1225	1.22
0.1275	1.19
0.1325	1.16
0.1375	0.8
0.1425	1.14
0.1475	1.12
0.1525	1.05
0.1575	0.98
0.165	1.29
0.1725	0.9
0.1775	1.25
0.1825	0.43
0.1875	0.32
0.1925	0.93
0.1975	0.87
0.2025	1.08
0.2075	1.18
0.2125	0.97
0.2175	1.19
0.2225	1.13
0.2275	1.17
0.2325	1.25
0.2375	1.36
0.245	1.21
0.2525	1.45
0.2575	1.39
0.2625	1.13
0.2675	1.46
0.2725	1.11
0.2775	1.16
0.2825	1.18
0.2875	1.36
0.2925	1.12
0.2975	1.12
0.3025	1.16
0.3075	1.06
0.3125	1.25
0.3175	1.78
0.325	1.28
0.3325	1.25
0.3375	1.29
0.3425	1.2
0.3475	1.49
0.3525	0.8
0.3575	1.17
0.3625	1.61
0.3675	1.22
0.3725	1.09
0.3775	1.26
0.3825	1.39
0.3875	1.27
0.3925	1.3
0.3975	1.29
0.405	1.41
0.4125	1.18
0.4175	1.21
0.4225	1.3
0.4275	1.85
0.4325	1.22
0.4375	1.32
0.4425	1.22
0.4475	1.42
0.4525	1.28
0.4575	1.27
0.4625	1.46
0.4675	1.4
0.4725	1.45
0.4775	1.25
0.485	1.49
0.4925	1.22
0.4975	1.23
0.5025	1.3
0.5075	1.1
0.5125	1.08
0.5175	0.95
0.5225	1.06
0.5275	1.28
0.5325	1.31
0.5375	1.25
0.5425	1.22
0.5475	1.35
0.5525	1.43
0.5575	1.35
0.565	1.48
0.5725	1.25
0.5775	1.14
0.5825	1.3
0.5875	1.27
0.5925	1.66
0.5975	1.5
0.6025	1.51
0.6075	1.62
0.6125	1.7
0.6175	1.48
0.6225	1.48
0.6275	1.57
0.6325	1.42
0.6375	1.34
0.645	1.41
0.6525	1.48
0.6575	1.43
0.6625	1.43
0.6675	1.3
0.6725	1.68
0.6775	1.33
0.6825	1.47
0.6875	1.28
0.6925	1.41
0.6975	1.3
0.7025	1.68
0.7075	1.36
0.7125	1.34
0.7175	1.41
0.725	1.92
0.7325	1.47
0.7375	1.83
0.7425	1.62
0.7625	1.51
0.7825	1.87
0.805	2.21
0.8175	1.72
0.8425	2.13
0.885	2.31
0.9225	2.01
0.9275	1.97
0.965	2.62
1.045	2.6
1.125	2.64
1.205	2.84
1.285	2.78
1.365	3.14
1.445	2.96
1.525	3.26
1.605	3.01
1.685	3.36
1.765	3.11
1.845	3.08
1.925	3.06
2.005	3.2
