depth	age	error	dr	dst	cc
0.305	4.79	0.02	0	0.2	2
0.405	6.065	0.02	0	0.2	2
0.505	8	0.025	0	0.2	2
0.565	9.825	0.025	0	0.2	2
0.605	10.64	0.025	0	0.2	2
0.645	11.885	0.025	0	0.2	2
0.705	12.080	0.03	0	0.2	2
0.725	12.795	0.025	0	0.2	2
0.765	12.930	0.03	0	0.2	2
0.805	11.620	0.025	0	0.2	2
0.845	11.690	0.025	0	0.2	2
0.905	12.63	0.03	0	0.2	2
1.005	13.5	0.075	0	0.2	2
1.045	12.18	0.03	0	0.2	2
1.105	11.53	0.03	0	0.2	2
1.205	11.21	0.03	0	0.2	2
1.305	10.805	0.03	0	0.2	2
1.405	9.395	0.025	0	0.2	2
1.445	12.45	0.05	0	0.2	2
1.505	11.665	0.025	0	0.2	2
2.005	16.7	0.095	0	0.2	2
3.005	20.0	.130	0	0.2	2
3.405	24.7	0.190	0	0.2	2
