Depth	d18O
0.005	2.65
0.0125	2.44
0.0175	2.55
0.0225	2.46
0.0275	2.61
0.0325	2.54
0.0375	2.49
0.0425	2.59
0.0475	2.37
0.0525	2.62
0.0575	2.52
0.0625	2.6
0.0675	2.55
0.0725	2.45
0.0775	2.51
0.085	2.66
0.0925	2.69
0.0975	2.58
0.1025	2.71
0.1075	2.55
0.1125	2.66
0.1175	2.55
0.1225	2.69
0.1275	2.51
0.1325	2.6
0.1375	2.44
0.1425	2.3
0.1475	2.58
0.1525	2.67
0.1575	2.57
0.165	2.82
0.1725	3.13
0.1775	2.58
0.1825	2.85
0.1875	2.52
0.1925	2.74
0.2025	2.53
0.2075	2.7
0.2225	2.79
0.2325	2.73
0.2375	3.25
0.245	3
0.2525	3.35
0.2575	3.33
0.2625	2.87
0.2675	3.36
0.2725	3.46
0.2775	3.35
0.2825	3.35
0.2875	3.42
0.2925	3.37
0.2975	3.45
0.3025	3.6
0.3075	3.55
0.3125	3.57
0.3175	3.59
0.325	3.6
0.3325	3.57
0.3375	3.61
0.3425	3.53
0.3475	3.54
0.3525	3.55
0.3575	3.61
0.3625	3.45
0.3675	3.55
0.3725	3.57
0.3775	3.97
0.3825	4.08
0.3875	3.48
0.3925	4
0.3975	4.07
0.405	3.75
0.4125	3.83
0.4175	3.6
0.4225	3.59
0.4275	3.57
0.4325	4.02
0.4375	4.43
0.4425	4.08
0.4475	3.85
0.4525	4.18
0.4575	3.36
0.4625	4.19
0.4675	4.23
0.4725	4.41
0.4775	4.47
0.485	3.97
0.4925	4.1
0.4975	4.4
0.5025	4.33
0.5225	2.71
0.5275	4.25
0.5325	4.45
0.5375	4.41
0.5425	4.51
0.5475	4.4
0.5525	4.46
0.5575	4.26
0.565	4.44
0.5725	4.48
0.5825	4.5
0.5875	4.47
0.5925	4.45
0.5975	4.49
0.6025	4.52
0.6075	4.46
0.6125	4.44
0.6175	4.47
0.6225	4.36
0.6275	4.43
0.6325	4.43
0.6375	4.62
0.645	4.6
0.725	4.66
0.805	4.57
0.885	4.43
0.965	4.51
1.045	4.46
1.125	4.48
1.205	4.42
1.285	4.13
1.365	4.29
1.445	4.21
1.525	4.27
