age(kyr) mean(permil) sigma(permil)
0.000000 3.249381 0.106099
0.100000 3.248662 0.104080
0.200000 3.248402 0.102583
0.300000 3.248796 0.101745
0.400000 3.249907 0.101337
0.500000 3.251459 0.101385
0.600000 3.253446 0.101757
0.700000 3.254985 0.102050
0.800000 3.255606 0.102359
0.900000 3.254904 0.102501
1.000000 3.252672 0.102556
1.100000 3.248852 0.102431
1.200000 3.244438 0.101968
1.300000 3.239859 0.101271
1.400000 3.235834 0.100212
1.500000 3.232843 0.098848
1.600000 3.231047 0.097255
1.700000 3.230009 0.095396
1.800000 3.229565 0.093458
1.900000 3.228773 0.091526
2.000000 3.227524 0.089744
2.100000 3.225669 0.088211
2.200000 3.223374 0.086793
2.300000 3.220675 0.085669
2.400000 3.218200 0.084700
2.500000 3.216309 0.083941
2.600000 3.215265 0.083496
2.700000 3.214863 0.083131
2.800000 3.215026 0.082820
2.900000 3.215782 0.082486
3.000000 3.216601 0.082314
3.100000 3.217143 0.082213
3.200000 3.217296 0.082335
3.300000 3.216925 0.082836
3.400000 3.215886 0.083652
3.500000 3.214482 0.084839
3.600000 3.212515 0.086423
3.700000 3.210240 0.088254
3.800000 3.208145 0.090433
3.900000 3.206553 0.092849
4.000000 3.205431 0.095612
4.100000 3.205538 0.098720
4.200000 3.206815 0.101928
4.300000 3.209218 0.105233
4.400000 3.212537 0.108488
4.500000 3.216778 0.111513
4.600000 3.221488 0.114259
4.700000 3.226302 0.116624
4.800000 3.231102 0.118641
4.900000 3.235328 0.120252
5.000000 3.238807 0.121558
5.100000 3.241432 0.122563
5.200000 3.243802 0.123218
5.300000 3.245481 0.123691
5.400000 3.246850 0.123945
5.500000 3.247769 0.124097
5.600000 3.248195 0.124163
5.700000 3.247889 0.124077
5.800000 3.247245 0.123842
5.900000 3.246291 0.123536
6.000000 3.245390 0.123154
6.100000 3.244970 0.122696
6.200000 3.244945 0.122111
6.300000 3.245513 0.121450
6.400000 3.246640 0.120641
6.500000 3.248574 0.119748
6.600000 3.251264 0.118768
6.700000 3.254586 0.117678
6.800000 3.258465 0.116689
6.900000 3.263213 0.115862
7.000000 3.268184 0.115347
7.100000 3.272958 0.115298
7.200000 3.277805 0.115770
7.300000 3.282750 0.116905
7.400000 3.287234 0.118659
7.500000 3.291540 0.121191
7.600000 3.296119 0.124505
7.700000 3.300873 0.128392
7.800000 3.306030 0.132830
7.900000 3.311812 0.137588
8.000000 3.318604 0.142469
8.100000 3.326779 0.147342
8.200000 3.335907 0.151917
8.300000 3.345744 0.156017
8.400000 3.355845 0.159399
8.500000 3.366452 0.161988
8.600000 3.376750 0.163659
8.700000 3.386387 0.164378
8.800000 3.395217 0.164246
8.900000 3.403493 0.163381
9.000000 3.410473 0.161952
9.100000 3.416376 0.160148
9.200000 3.421714 0.158121
9.300000 3.426619 0.156196
9.400000 3.431144 0.154500
9.500000 3.435661 0.153196
9.600000 3.439963 0.152324
9.700000 3.444280 0.151768
9.800000 3.448698 0.151482
9.900000 3.453363 0.151418
10.000000 3.458430 0.151483
10.100000 3.464112 0.151569
10.200000 3.470592 0.151577
10.300000 3.478301 0.151448
10.400000 3.487291 0.151105
10.500000 3.497354 0.150585
10.600000 3.508818 0.149758
10.700000 3.520949 0.148479
10.800000 3.533446 0.146743
10.900000 3.546310 0.144507
11.000000 3.559555 0.141973
11.100000 3.572679 0.139598
11.200000 3.585646 0.137810
11.300000 3.598623 0.137263
11.400000 3.611242 0.138269
11.500000 3.623884 0.140914
11.600000 3.636964 0.145124
11.700000 3.651020 0.150502
11.800000 3.666471 0.156839
11.900000 3.683678 0.163678
12.000000 3.703179 0.170525
12.100000 3.725608 0.176556
12.200000 3.750452 0.180861
12.300000 3.777919 0.182712
12.400000 3.807144 0.181899
12.500000 3.837918 0.178704
12.600000 3.869194 0.174124
12.700000 3.899709 0.169221
12.800000 3.928644 0.164893
12.900000 3.955532 0.161466
13.000000 3.979613 0.158808
13.100000 4.000819 0.156419
13.200000 4.019770 0.153301
13.300000 4.036236 0.148552
13.400000 4.051005 0.141820
13.500000 4.063854 0.133870
13.600000 4.075002 0.126089
13.700000 4.085351 0.119423
13.800000 4.095196 0.114641
13.900000 4.105114 0.112212
14.000000 4.115988 0.112573
14.100000 4.128410 0.115563
14.200000 4.142032 0.120304
14.300000 4.157450 0.126027
14.400000 4.174543 0.132103
14.500000 4.193171 0.138223
14.600000 4.213036 0.143994
14.700000 4.234014 0.148756
14.800000 4.255977 0.152175
14.900000 4.278726 0.153955
15.000000 4.302146 0.153701
15.100000 4.325735 0.151409
15.200000 4.349878 0.147557
15.300000 4.375144 0.143136
15.400000 4.401129 0.139420
15.500000 4.428724 0.137401
15.600000 4.458601 0.137184
15.700000 4.490180 0.138387
15.800000 4.523017 0.140532
15.900000 4.556579 0.142271
16.000000 4.589957 0.142650
16.100000 4.622889 0.141313
16.200000 4.654870 0.138876
16.300000 4.685734 0.136705
16.400000 4.715495 0.135758
16.500000 4.744166 0.136220
16.600000 4.771518 0.137467
16.700000 4.797979 0.138620
16.800000 4.823222 0.139264
16.900000 4.847857 0.139417
17.000000 4.871214 0.139167
17.100000 4.892966 0.138365
17.200000 4.912831 0.136855
17.300000 4.929786 0.134944
17.400000 4.943685 0.132910
17.500000 4.954324 0.131336
17.600000 4.961761 0.130547
17.700000 4.967367 0.130499
17.800000 4.972264 0.131103
17.900000 4.977042 0.132094
18.000000 4.982808 0.133264
18.100000 4.990282 0.134332
18.200000 4.998763 0.135027
18.300000 5.008238 0.135107
18.400000 5.017760 0.133846
18.500000 5.026340 0.131188
18.600000 5.033018 0.127209
18.700000 5.037751 0.121888
18.800000 5.039018 0.115525
18.900000 5.037946 0.109452
19.000000 5.034187 0.104958
19.100000 5.028391 0.102754
19.200000 5.021991 0.102660
19.300000 5.015980 0.104149
19.400000 5.011009 0.106170
19.500000 5.007685 0.108052
19.600000 5.005778 0.109419
19.700000 5.004852 0.110009
19.800000 5.004735 0.110116
19.900000 5.004466 0.109784
20.000000 5.003853 0.109381
20.100000 5.003073 0.109071
20.200000 5.001644 0.108831
20.300000 4.999440 0.108697
20.400000 4.996974 0.108364
20.500000 4.994112 0.107702
20.600000 4.990755 0.106478
20.700000 4.987348 0.104495
20.800000 4.983855 0.101997
20.900000 4.980237 0.099120
21.000000 4.976694 0.096164
21.100000 4.973072 0.093448
21.200000 4.969274 0.090973
21.300000 4.965557 0.088976
21.400000 4.961851 0.087325
21.500000 4.957880 0.086304
21.600000 4.953895 0.086105
21.700000 4.950135 0.086633
21.800000 4.946137 0.088084
21.900000 4.941618 0.090268
22.000000 4.936297 0.093231
22.100000 4.929851 0.096794
22.200000 4.922117 0.100480
22.300000 4.913207 0.104242
22.400000 4.903460 0.107866
22.500000 4.893504 0.111253
22.600000 4.883522 0.114390
22.700000 4.873652 0.117196
22.800000 4.864195 0.119668
22.900000 4.855163 0.121714
23.000000 4.846267 0.123262
23.100000 4.837849 0.124114
23.200000 4.830067 0.123953
23.300000 4.822842 0.122911
23.400000 4.816762 0.120981
23.500000 4.812299 0.118417
23.600000 4.809426 0.115674
23.700000 4.808306 0.112980
23.800000 4.809447 0.110680
23.900000 4.812689 0.108836
24.000000 4.818388 0.107373
24.100000 4.826503 0.106252
24.200000 4.835495 0.105356
24.300000 4.845062 0.104668
24.400000 4.853525 0.104034
24.500000 4.859668 0.103555
24.600000 4.862708 0.103253
24.700000 4.863354 0.102891
24.800000 4.861197 0.102481
24.900000 4.857482 0.101853
25.000000 4.853055 0.101130
25.100000 4.848596 0.100389
25.200000 4.844366 0.099714
25.300000 4.840587 0.099577
25.400000 4.837128 0.100155
25.500000 4.833418 0.101834
25.600000 4.829381 0.104745
25.700000 4.825241 0.108621
25.800000 4.821303 0.113365
25.900000 4.817901 0.118506
26.000000 4.815377 0.123642
26.100000 4.813901 0.128512
26.200000 4.812993 0.132748
26.300000 4.812245 0.136272
26.400000 4.810959 0.138922
26.500000 4.808913 0.140763
26.600000 4.805350 0.141850
26.700000 4.800397 0.142094
26.800000 4.793492 0.141682
26.900000 4.785122 0.140463
27.000000 4.775123 0.138513
27.100000 4.764014 0.135828
27.200000 4.752676 0.132710
27.300000 4.741686 0.129410
27.400000 4.730970 0.126223
27.500000 4.720690 0.123412
27.600000 4.711289 0.121141
27.700000 4.702295 0.119346
27.800000 4.693678 0.118234
27.900000 4.685905 0.117830
28.000000 4.679094 0.118262
28.100000 4.672686 0.119865
28.200000 4.666587 0.122635
28.300000 4.660250 0.126382
28.400000 4.653384 0.130491
28.500000 4.645750 0.133988
28.600000 4.637436 0.135738
28.700000 4.628588 0.135378
28.800000 4.620344 0.133585
28.900000 4.613421 0.131062
29.000000 4.608682 0.128736
29.100000 4.607091 0.127411
29.200000 4.608698 0.127075
29.300000 4.613898 0.127435
29.400000 4.621182 0.128187
29.500000 4.629899 0.128873
29.600000 4.638542 0.129082
29.700000 4.645879 0.128648
29.800000 4.651028 0.127872
29.900000 4.653957 0.126976
30.000000 4.654598 0.126367
30.100000 4.653073 0.126244
30.200000 4.650199 0.126415
30.300000 4.645912 0.126567
30.400000 4.641202 0.126423
30.500000 4.636371 0.125715
30.600000 4.632707 0.124463
30.700000 4.630355 0.122777
30.800000 4.629365 0.120938
30.900000 4.630091 0.119057
31.000000 4.632129 0.117281
31.100000 4.634891 0.115615
31.200000 4.638228 0.113786
31.300000 4.642355 0.111824
31.400000 4.645918 0.109734
31.500000 4.649524 0.107315
31.600000 4.652222 0.104841
31.700000 4.653929 0.102538
31.800000 4.654562 0.100586
31.900000 4.653900 0.098976
32.000000 4.651547 0.097837
32.100000 4.647882 0.096904
32.200000 4.643105 0.096152
32.300000 4.637293 0.095655
32.400000 4.631871 0.095322
32.500000 4.626978 0.095224
32.600000 4.623729 0.095433
32.700000 4.622045 0.096021
32.800000 4.621477 0.097317
32.900000 4.621288 0.099032
33.000000 4.621137 0.101107
33.100000 4.619849 0.103145
33.200000 4.617017 0.104921
33.300000 4.612970 0.106231
33.400000 4.607861 0.106767
33.500000 4.601832 0.106475
33.600000 4.595357 0.105471
33.700000 4.589017 0.103937
33.800000 4.582347 0.102269
33.900000 4.575646 0.100914
34.000000 4.569354 0.100520
34.100000 4.563435 0.101264
34.200000 4.557943 0.102850
34.300000 4.553230 0.105131
34.400000 4.549403 0.107879
34.500000 4.545826 0.111171
34.600000 4.541976 0.115114
34.700000 4.537576 0.119881
34.800000 4.532662 0.125453
34.900000 4.526251 0.131522
35.000000 4.518010 0.137664
35.100000 4.508504 0.143691
35.200000 4.498256 0.148912
35.300000 4.487041 0.152674
35.400000 4.476220 0.154851
35.500000 4.466666 0.155451
35.600000 4.458963 0.154604
35.700000 4.452961 0.152483
35.800000 4.449577 0.149303
35.900000 4.447910 0.145290
36.000000 4.447572 0.140730
36.100000 4.447576 0.135843
36.200000 4.447370 0.130877
36.300000 4.445431 0.126109
36.400000 4.441672 0.121763
36.500000 4.435151 0.118162
36.600000 4.426100 0.115423
36.700000 4.415498 0.113431
36.800000 4.403680 0.112275
36.900000 4.391541 0.111640
37.000000 4.379989 0.111442
37.100000 4.369309 0.111617
37.200000 4.359323 0.111879
37.300000 4.350677 0.112274
37.400000 4.343078 0.112966
37.500000 4.337286 0.113825
37.600000 4.334035 0.114836
37.700000 4.332792 0.116254
37.800000 4.333751 0.118127
37.900000 4.336588 0.120329
38.000000 4.341530 0.122791
38.100000 4.348435 0.125661
38.200000 4.356813 0.128581
38.300000 4.366767 0.131452
38.400000 4.378284 0.133976
38.500000 4.391606 0.135944
38.600000 4.405608 0.137448
38.700000 4.420148 0.138201
38.800000 4.435610 0.137862
38.900000 4.451358 0.136676
39.000000 4.466411 0.134746
39.100000 4.480831 0.132243
39.200000 4.494821 0.129124
39.300000 4.508559 0.125605
39.400000 4.521766 0.122030
39.500000 4.534599 0.118735
39.600000 4.547015 0.115804
39.700000 4.558589 0.113308
39.800000 4.568632 0.111415
39.900000 4.577581 0.110027
40.000000 4.584923 0.109157
40.100000 4.590660 0.108803
40.200000 4.595104 0.108636
40.300000 4.597717 0.108651
40.400000 4.598751 0.108580
40.500000 4.598287 0.108379
40.600000 4.597025 0.108187
40.700000 4.595062 0.107863
40.800000 4.592404 0.107481
40.900000 4.589366 0.107057
41.000000 4.586306 0.106703
41.100000 4.582994 0.106421
