depth	age	error	dr	dst	cc
0.305	4.92	0.015	0	0.2	2
0.405	6.395	0.02	0	0.2	2
0.405	6.38	0.015	0	0.2	2
0.505	7.825	0.015	0	0.2	2
0.575	8.445	0.02	0	0.2	2
0.605	9.115	0.02	0	0.2	2
0.655	9.425	0.02	0	0.2	2
0.675	10.425	0.025	0	0.2	2
0.705	10.705	0.03	0	0.2	2
0.755	10.99	0.025	0	0.2	2
0.805	11.485	0.03	0	0.2	2
0.855	12.46	0.03	0	0.2	2
0.905	12.705	0.035	0	0.2	2
0.955	12.275	0.03	0	0.2	2
1.005	12.71	0.03	0	0.2	2
1.055	13.295	0.035	0	0.2	2
1.105	13.465	0.035	0	0.2	2
1.155	13.63	0.03	0	0.2	2
1.205	13.35	0.04	0	0.2	2
1.255	13.765	0.035	0	0.2	2
1.305	13.955	0.035	0	0.2	2
1.345	14.34	0.07	0	0.2	2
1.405	14.045	0.035	0	0.2	2
1.465	15.24	0.09	0	0.2	2
1.505	15.5	0.07	0	0.2	2
1.805	17.51	0.06	0	0.2	2
1.825	17.59	0.08	0	0.2	2
1.855	18.78	0.07	0	0.2	2
1.905	19.34	0.06	0	0.2	2
