Depth	d18O
0.01	2.59
0.04	2.46
0.08	2.54
0.12	2.45
0.16	2.54
0.2	2.46
0.24	2.47
0.28	2.44
0.32	2.45
0.36	2.57
0.4	2.53
0.44	2.65
0.48	2.48
0.52	2.68
0.56	2.69
0.6	2.88
0.64	2.66
0.68	2.72
0.72	3.15
0.8	2.84
0.84	2.96
0.88	3.28
0.92	3.22
0.96	3.49
1	3.61
1.04	3.57
1.08	3.8
1.12	3.72
1.16	3.75
1.2	3.86
1.24	3.92
1.28	3.98
1.32	3.95
1.36	3.93
1.41	3.98
1.44	4.16
1.48	4.28
1.52	4.14
1.56	4.24
1.6	4.14
1.64	4.2
1.68	4.22
1.72	4.26
1.76	4.17
1.8	4.21
1.84	3.91
1.88	4.16
1.92	4.11
1.96	4.13
2	3.97
2.04	3.72
2.08	4.03
2.12	3.95
2.16	3.83
2.2	4.02
2.24	3.83
2.28	3.83
2.32	3.99
2.36	3.89
2.4	3.92
2.44	3.76
2.48	3.74
2.52	3.93
2.56	3.77
2.6	3.85
2.64	3.53
2.68	3.63
2.72	3.64
