depth	d18O
0.01	3.42
0.03	3.48
0.04	3.48
0.05	3.52
0.07	3.44
0.11	3.52
0.12	3.21
0.13	3.45
0.15	3.59
0.16	3.64
0.17	3.6
0.19	3.75
0.2	3.48
0.21	3.58
0.23	3.55
0.24	3.33
0.25	3.63
0.26	4.3
0.27	3.91
0.29	3.89
0.31	3.72
0.32	3.67
0.33	3.69
0.35	3.85
0.36	3.94
0.37	4.23
0.39	4.16
0.41	4.18
0.43	4
0.44	4.26
0.45	4.14
0.47	3.93
0.49	4.31
0.51	4.36
0.52	4.54
0.53	4
0.55	4.115
0.57	4.57
0.59	4.475
0.6	4.88
0.61	4.87
0.63	4.74
0.64	4.33
0.65	4.8
0.67	4.91
0.69	4.78
0.71	4.57
0.72	4.57
0.73	4.865
0.75	4.68
0.76	4.94
0.77	5
0.79	5
0.8	4.74
0.81	4.92
0.83	5.02
0.85	5.12
0.86	4.93
0.87	5.09
0.89	5.23
0.9	5.04
0.91	5.24
0.93	5.01
0.94	5.1
0.95	5.04
0.97	5.175
0.99	5.05
1.01	5.14
1.02	5.22
1.03	5.37
1.05	5.11
1.06	5.17
1.07	5.09
1.09	5.2
1.1	5.11
1.11	5.22
1.13	5.16
1.14	5.07
1.17	5.09
1.19	5.07
1.21	5.07
1.22	5.15
1.23	5.12
1.25	5.05
1.26	5.1
1.27	5.12
1.29	5.25
1.3	5.19
1.31	5.17
1.33	5.01
1.34	5.09
1.35	5.15
1.39	5.19
1.41	4.81
1.42	5.09
1.43	5.17
1.45	4.79
1.46	4.97
1.47	5.03
1.51	5.01
1.53	4.89
1.54	4.86
1.57	4.95
1.59	5.09
1.61	4.96
1.62	5.1
1.65	4.89
1.66	5.09
1.67	4.89
1.69	4.88
1.71	4.91
1.72	5.01
1.73	4.95
1.75	5.04
1.76	4.9
1.77	4.96
1.8	4.9
1.81	4.96
1.83	5.09
1.84	4.93
1.91	4.94
1.92	4.92
1.93	4.89
1.95	4.86
1.99	4.92
2	4.91
2.04	4.84
2.05	5
2.07	4.8
2.09	4.93
2.11	4.96
2.12	4.86
2.15	4.85
2.16	4.81
2.17	4.85
2.19	4.93
2.2	4.96
2.21	4.96
2.23	4.79
2.24	4.78
2.25	4.82333
2.29	4.92
2.31	4.78
2.32	4.81
2.33	4.81
2.35	4.79
2.36	4.84
2.37	4.78
2.39	4.82
2.41	4.79
2.42	4.86
2.43	4.66
2.45	4.74
2.46	4.78
2.47	4.6
2.49	4.5
2.51	4.63
2.52	4.7
2.53	4.69
2.55	4.5
2.56	4.63
2.57	4.72
2.59	4.69
2.61	4.79
2.62	4.7
2.63	4.63
2.65	4.81
2.67	4.7
2.69	4.66
