depth	age	error	dR	dSTD	cc
0.015	5.34	0.12	0	0.2	2
0.095	6.66	0.11	0	0.2	2
0.255	8.9	0.13	0	0.2	2
0.355	10.05	0.18	0	0.2	2
0.455	9.8	0.15	0	0.2	2
0.555	10.64	0.16	0	0.2	2
0.655	12.02	0.17	0	0.2	2
0.755	13.44	0.25	0	0.2	2
0.835	14.6	0.18	0	0.2	2
0.875	14.92	0.22	0	0.2	2
0.995	15.66	0.2	0	0.2	2
1.145	16.7	0.26	0	0.2	2
1.305	17.78	0.22	0	0.2	2
1.545	20.16	0.3	0	0.2	2
1.655	21.54	0.37	0	0.2	2
1.665	22.06	0.28	0	0.2	2
1.755	21.47	0.36	0	0.2	2
1.765	22.03	0.25	0	0.2	2
1.995	24.51	0.32	0	0.2	2
2.255	26.27	0.46	0	0.2	2
2.525	29.27	0.6	0	0.2	2
