depth	d18O
0.02	3.05
0.05	3.02
0.12	3.21
0.15	3.18
0.18	3.14
0.25	3.45
0.28	3.12
0.38	3.33
0.42	3.85
0.45	3.88
0.48	3.99
0.52	3.88
0.55	3.77
0.58	4.15
0.62	3.97
0.65	4.24
0.68	4.32
0.72	4.4
0.75	4.07
0.78	4.29
0.82	4.5
0.85	4.69
0.88	4.44
0.92	4.47
0.95	4.56
0.98	4.57
1.02	4.6
1.05	4.76
1.08	4.66
1.12	4.77
1.15	4.64
1.18	4.5
1.22	4.68
1.25	4.78
1.28	4.59
1.32	4.68
1.35	4.65
1.38	4.39
1.42	4.53
1.45	4.54
1.48	4.57
1.52	4.58
1.55	4.85
1.58	4.49
1.62	4.48
1.65	4.48
1.68	4.46
1.72	4.53
1.75	4.76
1.78	4.59
1.82	4.48
1.85	4.5
1.88	4.6
1.92	4.27
1.95	4.59
1.98	4.48
2.02	4.32
2.05	4.11
2.08	4.69
2.12	4.09
2.15	4.32
2.18	4.3
2.22	4.17
2.25	4.55
2.28	4.38
2.32	4.16
2.35	3.9
2.38	4.49
2.42	4.7
2.45	4.04
2.48	4.43
2.52	4.33
2.55	4.42
2.58	4.36
2.62	4.04
2.68	4.15
2.72	4.3
2.75	4.12
2.78	4.1
2.82	4.15
2.85	3.91
2.88	4.13
2.92	4.24
2.95	4.21
2.98	4.13
3.02	4.29
3.05	4.33
3.08	4.34
3.12	4.23
3.15	4.32
3.18	4.39
3.22	4.06
3.25	4.16
3.28	4.15
3.32	4.25
3.35	4.2
3.38	4.06
3.42	4.19
3.45	3.92
3.48	4.07
3.52	4.22
3.55	4.09
3.58	3.55
3.62	4.1
3.65	4.14
3.68	4.1
3.72	4.1
3.75	4.12
3.78	4.21
3.82	4.17
3.85	4.15
3.88	4.04
3.92	4.14
3.95	4.18
3.98	4.09
4.02	3.73
4.05	3.96
4.08	4.08
4.12	3.93
4.15	3.98
4.18	4.05
4.22	4.03
4.25	4.2
4.28	3.99
4.32	3.87
4.35	3.99
4.38	4.05
4.42	4.07
4.45	4.04
