depth	d18O
0	3.51
0.05	3.48
0.11	3.31
0.14	3.43
0.17	3.27
0.22	3.4
0.25	3.39
0.28	3.29
0.32	3.56
0.38	3.56
0.41	3.52
0.44	3.53
0.47	3.46
0.5	3.48
0.53	3.46
0.56	3.85
0.59	3.69
0.62	3.87
0.65	3.42
0.68	3.98
0.71	3.9
0.74	3.87
0.77	3.89
0.8	4.38
0.83	4.1
0.86	4.25
0.89	4.16
0.92	4.44
0.95	4.73
0.98	4.64
1.02	4.84
1.05	4.91
1.08	4.92
1.11	4.83
1.14	4.79
1.17	5.22
1.2	5.2
1.23	5.08
1.26	4.99
1.29	5.15
1.32	5.13
1.35	5
1.38	4.98
1.41	4.87
1.44	5.12
1.47	5.14
1.52	4.96
1.56	4.95
1.59	5.07
1.62	5.1
1.65	4.89
1.68	5.05
1.71	4.99
1.74	5
1.77	4.89
1.8	4.89
1.83	4.96
1.86	4.96
1.89	4.98
1.92	4.93
1.95	4.93
1.98	5.12
2.01	4.96
2.04	4.97
2.07	4.94
2.1	4.87
2.13	4.96
2.16	5.05
2.19	4.91
2.22	4.78
2.25	4.92
2.28	5.06
2.31	4.92
2.34	4.83
2.37	4.76
2.38	4.68
2.4	4.81
2.43	4.81
2.46	4.87
2.49	4.76
2.52	4.84
2.55	4.73
2.58	4.62
2.61	4.55
2.64	4.53
2.67	4.69
2.7	4.64
2.73	4.67
2.76	4.63
2.79	4.35
2.82	4.56
2.85	4.52
2.88	4.59
2.91	4.56
2.94	4.65
2.97	4.63
3	4.62
3.03	4.53
3.06	4.6
3.09	4.64
3.12	4.74
3.15	4.55
3.18	4.73
3.21	4.52
3.27	4.55
3.3	4.5
3.33	4.49
3.36	4.41
3.39	4.59
3.42	4.49
3.45	4.65
3.48	4.63
3.51	4.71
3.57	4.47
3.6	4.53
3.63	4.53
3.66	4.58
3.69	4.62
3.75	4.59
3.93	4.52
3.96	4.53
3.99	4.66
4.05	4.34
4.08	4.29
4.11	4.36
