depth	d18O
0	3.38
0	3.28
0.04	3.42
0.04	3.14
0.2	3.39
0.4	3.27
0.6	3.31
1	3.3
1.2	3.16
1.4	3.49
1.6	3.4
1.8	3.22
2	3.43
2.2	3.36
2.4	3.19
2.5	3.43
2.6	3.83
2.8	3.63
3	3.54
3	3.35
3.1	3.65
3.2	3.77
3.3	3.94
3.4	3.78
3.5	3.72
3.6	3.86
3.7	4
3.8	4.17
3.9	4.33
3.9	4.36
4	3.85
4	3.97
4.04	4.24
4.08	4.13
4.08	4.2
4.1	4.29
4.1	4.04
4.12	4.18
4.12	4.1
4.16	4.24
4.16	4.19
4.2	4.25
4.24	4.1
4.24	4.13
4.28	4.12
4.28	4.14
4.3	4.19
4.3	4.04
4.32	4.27
4.36	4.39
4.4	3.99
4.4	4.18
4.44	4.37
4.48	4.19
4.48	4.28
4.48	4.42
4.5	4.34
4.52	4.44
4.56	4.45
4.6	4.35
4.64	4.23
4.64	4.41
4.68	4.52
4.7	4.45
4.72	4.53
4.76	4.69
4.8	4.92
4.84	4.77
4.88	4.6
4.88	4.38
4.88	4.67
4.88	4.56
4.88	4.78
4.9	4.64
4.92	4.7
4.96	4.71
5	4.78
5.04	4.87
5.08	4.9
5.1	4.75
5.12	4.84
5.16	4.86
5.2	4.76
5.24	4.73
5.28	4.9
5.3	4.78
5.32	4.91
5.36	4.94
5.4	4.77
5.44	4.93
5.48	4.98
5.5	5.17
5.52	5.03
5.56	5.02
5.6	4.98
5.64	5.06
5.68	5.11
5.7	4.97
5.7	4.99
5.72	5.13
5.76	5.13
5.8	5.15
5.8	5.01
5.84	5.05
5.88	4.83
5.9	5.09
5.9	4.96
5.9	5.05
5.92	5.15
5.96	5
6	5.12
6	4.99
6.04	5.04
6.04	5.23
6.08	5.1
6.12	4.78
6.12	5.14
6.16	5.01
6.2	5.2
6.24	5.09
6.24	5.18
6.28	5.04
6.32	5.02
6.32	5.11
6.36	5.08
6.36	5.06
6.36	5.03
6.4	5.12
6.4	4.93
6.44	5.12
6.48	5.12
6.52	5.02
6.56	5.04
6.6	4.85
6.64	5.12
6.68	5.14
6.72	4.97
6.76	5.05
6.81	4.89
6.84	5.13
6.88	5.02
6.92	5.05
6.96	5
7	4.91
7	5.04
7.04	4.77
7.04	5.17
7.04	5.17
7.08	4.92
7.08	5.11
7.12	4.92
7.12	4.99
7.16	5.07
7.16	4.95
7.2	5
7.24	5.11
7.28	4.95
7.32	4.96
7.36	4.99
7.4	4.86
7.44	4.96
7.48	4.86
7.48	5.11
7.52	4.97
7.56	5
7.6	4.68
7.64	4.98
7.68	4.59
7.72	4.95
7.76	4.89
7.84	4.96
7.88	4.95
7.9	4.7
7.92	4.86
7.96	4.91
8.04	4.6
8.08	4.84
8.1	5.1
8.12	4.77
8.16	4.79
8.2	4.73
8.24	4.72
8.24	4.81
8.24	4.78
8.24	4.77
8.28	4.95
8.28	4.83
8.32	4.53
8.32	4.83
8.36	4.71
8.44	4.77
8.48	4.93
8.52	4.95
8.56	4.79
8.6	5.08
8.64	4.92
8.68	4.93
8.72	4.93
8.76	4.83
8.84	5
8.88	4.77
8.92	4.77
8.92	4.86
8.96	4.82
9	4.91
9.04	4.98
9.08	4.85
9.12	4.87
9.16	4.98
9.24	4.73
9.28	4.89
9.28	4.84
9.32	5.02
9.32	4.8
9.36	4.87
9.4	4.86
9.4	4.63
9.44	4.59
9.44	4.87
9.48	4.93
9.52	4.83
9.52	4.98
9.56	4.93
9.56	4.99
9.6	4.93
9.6	4.72
9.64	5.04
9.64	4.97
9.68	4.93
9.72	4.61
9.76	4.87
9.8	4.74
9.84	4.85
9.96	4.84
10	4.61
10	4.68
10.04	4.44
10.04	4.69
10.08	4.76
10.12	4.82
10.16	4.62
10.2	4.7
10.24	4.75
10.28	4.6
10.36	4.84
10.36	4.17
10.36	4.29
10.4	4.69
10.4	4.63
10.4	4.82
10.44	4.49
10.44	4.72
10.48	4.69
10.48	4.72
10.52	4.53
10.52	4.71
10.52	4.54
10.56	4.46
10.56	4.58
10.6	4.55
10.64	4.6
10.64	4.47
10.68	4.65
10.72	4.63
10.76	4.51
10.76	4.78
10.8	4.85
10.84	4.61
10.88	4.76
10.92	4.78
10.96	4.59
11	4.62
11.04	4.75
11.04	4.85
11.08	4.86
11.08	4.47
11.12	4.64
11.16	4.59
11.2	4.76
11.2	4.94
11.24	4.53
11.24	4.57
11.24	4.4
11.28	4.49
11.28	4.52
11.32	4.68
11.36	4.75
11.4	4.8
11.44	4.74
11.48	4.69
11.52	4.68
11.52	4.68
11.56	4.86
11.56	4.8
11.6	4.76
11.64	4.8
11.68	4.61
11.72	4.59
11.76	4.55
11.8	4.47
11.84	4.63
11.88	4.64
11.92	4.7
11.96	4.71
11.96	4.62
11.96	4.75
12	4.54
12	4.84
12	4.74
12.04	4.48
12.04	4.81
12.08	4.54
12.08	4.5
12.12	4.6
12.16	4.69
12.2	4.59
12.2	4.53
12.2	4.6
12.24	4.59
12.24	4.56
12.28	4.44
12.32	4.61
12.32	4.68
12.36	4.55
12.4	4.64
12.4	4.57
12.44	4.69
12.44	4.49
12.48	4.43
12.48	4.43
12.48	4.55
12.5	4.61
12.5	4.51
12.5	4.57
12.52	4.59
12.52	4.51
12.56	4.82
12.56	4.71
12.56	4.7
12.6	4.42
12.6	4.58
12.6	4.46
12.64	4.29
12.64	4.42
12.68	4.39
12.7	4.34
12.7	4.42
12.72	4.11
12.72	4.36
12.76	4.42
12.8	4.38
12.84	4.39
12.88	4.33
12.88	4.72
12.88	4.45
12.88	4.34
12.92	4.46
12.96	4.59
12.96	4.59
13	4.53
13	4.54
13.04	4.53
13.04	4.52
13.04	4.47
13.08	4.39
13.12	4.34
13.16	4.55
13.2	4.36
13.24	4.44
13.28	4.38
13.32	4.25
13.36	4.26
13.4	4.34
13.4	4.28
13.44	4.27
13.48	4.28
13.52	4.32
13.56	4.23
13.6	4.41
13.64	4.27
13.64	4.62
13.68	4.45
13.72	4.53
13.76	4.39
13.76	4.65
13.8	4.58
13.84	4.57
13.88	4.64
13.92	4.67
13.96	4.58
14	4.58
14	4.72
14.04	4.73
14.08	4.41
14.12	4.82
14.16	4.59
14.16	4.63
14.2	4.69
14.24	4.69
14.28	4.55
14.28	4.66
14.32	4.67
14.32	4.46
14.36	4.49
14.4	4.52
14.44	4.58
14.48	4.2
14.52	4.62
14.52	4.67
14.56	4.82
14.56	4.7
14.6	4.8
14.64	4.58
14.64	4.73
14.68	4.47
14.68	4.65
14.72	4.58
14.72	4.48
14.76	4.53
14.76	4.77
14.76	4.68
14.76	4.92
14.8	4.54
14.8	4.54
14.84	4.46
14.84	4.31
14.88	4.49
14.92	4.56
14.92	4.53
14.96	4.65
15	4.49
15.04	4.64
15.04	4.79
15.08	4.43
15.12	4.74
15.12	4.8
15.16	4.54
15.16	4.67
15.16	4.65
15.2	4.48
15.24	4.41
15.28	4.53
15.28	4.46
15.32	4.42
15.32	4.58
15.36	4.36
15.36	4.54
15.4	4.36
15.44	4.39
15.48	4.36
15.52	3.92
15.52	4.22
15.56	4.23
15.6	4.23
15.64	4.08
15.68	4.41
15.72	4.14
15.72	4.42
15.76	4.52
15.8	4.54
15.84	4.3
15.84	4.6
15.88	4.24
15.88	4.57
15.92	4.67
15.96	4.45
16	4.55
