depth	d18O
0.5	3.32399
0.55	3.337496
0.6	3.342022
0.65	3.346363
0.7	3.360915
0.75	3.379005
0.8	3.409806
0.85	3.471683
0.9	3.522258
0.95	3.534576
1	3.541602
1.05	3.574174
1.1	3.627058
1.15	3.707541
1.2	3.804909
1.25	3.925295
1.3	4.045707
1.35	4.11935
1.4	4.148147
1.45	4.200499
1.5	4.307356
1.55	4.479413
1.6	4.684161
1.65	4.860703
1.7	4.991384
1.75	5.072305
1.8	5.093365
1.85	5.131453
1.9	5.121615
1.95	5.086422
2	5.078988
2.05	5.070338
2.1	5.058869
2.15	5.046442
2.2	5.020651
2.25	4.983936
2.3	4.942129
2.35	4.8938
2.4	4.879541
2.45	4.931038
2.5	4.938942
