age(kyr) mean(permil) sigma(permil)
0.000000 3.305799 0.159650
0.100000 3.305194 0.158267
0.200000 3.304590 0.156893
0.300000 3.303992 0.155572
0.400000 3.303450 0.154274
0.500000 3.302978 0.153038
0.600000 3.302604 0.151851
0.700000 3.302413 0.150744
0.800000 3.302527 0.149764
0.900000 3.302963 0.148892
1.000000 3.303754 0.148142
1.100000 3.304849 0.147509
1.200000 3.306150 0.147007
1.300000 3.307753 0.146712
1.400000 3.309518 0.146570
1.500000 3.311316 0.146513
1.600000 3.312887 0.146456
1.700000 3.314185 0.146391
1.800000 3.314968 0.146397
1.900000 3.315566 0.146436
2.000000 3.315989 0.146460
2.100000 3.316263 0.146472
2.200000 3.316589 0.146450
2.300000 3.316843 0.146419
2.400000 3.316719 0.146351
2.500000 3.316426 0.146268
2.600000 3.316081 0.146145
2.700000 3.315387 0.146019
2.800000 3.314371 0.145930
2.900000 3.313049 0.145848
3.000000 3.311281 0.145799
3.100000 3.309469 0.145774
3.200000 3.307545 0.145800
3.300000 3.305537 0.145914
3.400000 3.303500 0.146021
3.500000 3.301240 0.146155
3.600000 3.298637 0.146233
3.700000 3.295856 0.146301
3.800000 3.292905 0.146405
3.900000 3.289701 0.146502
4.000000 3.286431 0.146598
4.100000 3.283092 0.146616
4.200000 3.279542 0.146518
4.300000 3.275755 0.146280
4.400000 3.271923 0.145901
4.500000 3.268068 0.145366
4.600000 3.264208 0.144691
4.700000 3.260567 0.143885
4.800000 3.257041 0.142938
4.900000 3.253640 0.141915
5.000000 3.250511 0.140836
5.100000 3.247473 0.139682
5.200000 3.244676 0.138425
5.300000 3.242488 0.137168
5.400000 3.240801 0.135927
5.500000 3.239551 0.134643
5.600000 3.238900 0.133420
5.700000 3.239179 0.132357
5.800000 3.240721 0.131594
5.900000 3.243322 0.130953
6.000000 3.247044 0.130303
6.100000 3.251603 0.129638
6.200000 3.256822 0.129025
6.300000 3.262791 0.128687
6.400000 3.269821 0.128424
6.500000 3.277870 0.128227
6.600000 3.286525 0.128092
6.700000 3.295632 0.128236
6.800000 3.305831 0.128858
6.900000 3.316869 0.129780
7.000000 3.328191 0.130900
7.100000 3.339887 0.132157
7.200000 3.352220 0.133596
7.300000 3.364785 0.135352
7.400000 3.376924 0.137498
7.500000 3.389143 0.139933
7.600000 3.401518 0.142636
7.700000 3.413623 0.145506
7.800000 3.424828 0.148273
7.900000 3.435449 0.150610
8.000000 3.445603 0.152772
8.100000 3.455063 0.155071
8.200000 3.463953 0.157699
8.300000 3.472974 0.160700
8.400000 3.482097 0.164031
8.500000 3.491052 0.167785
8.600000 3.500358 0.172034
8.700000 3.510139 0.176839
8.800000 3.520528 0.182205
8.900000 3.531596 0.187853
9.000000 3.543487 0.193194
9.100000 3.555811 0.197689
9.200000 3.568631 0.201340
9.300000 3.582222 0.204153
9.400000 3.596477 0.205380
9.500000 3.611577 0.204349
9.600000 3.627199 0.201769
9.700000 3.643414 0.198346
9.800000 3.660518 0.194502
9.900000 3.678603 0.191098
10.000000 3.697800 0.188686
10.100000 3.718112 0.187250
10.200000 3.739664 0.186476
10.300000 3.763020 0.186072
10.400000 3.787341 0.185984
10.500000 3.812023 0.186190
10.600000 3.836783 0.186120
10.700000 3.861239 0.186372
10.800000 3.885149 0.187255
10.900000 3.908868 0.188147
11.000000 3.932297 0.188772
11.100000 3.955500 0.189224
11.200000 3.978499 0.189551
11.300000 4.001267 0.189431
11.400000 4.023478 0.188613
11.500000 4.045308 0.186903
11.600000 4.066953 0.184366
11.700000 4.088492 0.181691
11.800000 4.109922 0.179500
11.900000 4.131660 0.177907
12.000000 4.153798 0.176504
12.100000 4.176169 0.175011
12.200000 4.198781 0.173675
12.300000 4.221395 0.172849
12.400000 4.243771 0.172620
12.500000 4.265694 0.172977
12.600000 4.286951 0.173797
12.700000 4.307462 0.174726
12.800000 4.326598 0.175223
12.900000 4.344711 0.174987
13.000000 4.361673 0.174040
13.100000 4.377952 0.172795
13.200000 4.393537 0.171797
13.300000 4.408270 0.171281
13.400000 4.422331 0.170905
13.500000 4.435682 0.170261
13.600000 4.448437 0.169247
13.700000 4.460404 0.168066
13.800000 4.471421 0.166950
13.900000 4.481678 0.165964
14.000000 4.491498 0.165091
14.100000 4.500942 0.164141
14.200000 4.510204 0.163128
14.300000 4.519520 0.162206
14.400000 4.528802 0.161434
14.500000 4.538472 0.160713
14.600000 4.548670 0.159916
14.700000 4.559547 0.158969
14.800000 4.571131 0.158062
14.900000 4.583591 0.157284
15.000000 4.596474 0.156533
15.100000 4.609465 0.155577
15.200000 4.622396 0.154435
15.300000 4.635249 0.153045
15.400000 4.647949 0.151308
15.500000 4.660575 0.149283
15.600000 4.673126 0.147035
15.700000 4.685446 0.144714
15.800000 4.697460 0.142373
15.900000 4.708792 0.140009
16.000000 4.719608 0.137810
16.100000 4.730118 0.135840
16.200000 4.740768 0.134060
16.300000 4.751412 0.132488
16.400000 4.761971 0.131252
16.500000 4.772092 0.130336
16.600000 4.781938 0.129527
16.700000 4.791132 0.128616
16.800000 4.799722 0.127731
16.900000 4.808045 0.126829
17.000000 4.816221 0.126027
17.100000 4.824427 0.125418
17.200000 4.832639 0.124741
17.300000 4.840589 0.123440
17.400000 4.848377 0.121338
17.500000 4.855910 0.118771
17.600000 4.862955 0.115829
17.700000 4.869584 0.112521
17.800000 4.875604 0.109210
17.900000 4.881209 0.106458
18.000000 4.886930 0.104379
18.100000 4.892467 0.103425
18.200000 4.897583 0.103377
18.300000 4.902468 0.104119
18.400000 4.906606 0.104957
18.500000 4.909411 0.105018
18.600000 4.911485 0.103959
18.700000 4.912731 0.102628
18.800000 4.912120 0.101347
18.900000 4.910265 0.100201
19.000000 4.907253 0.099395
19.100000 4.903532 0.098455
19.200000 4.899359 0.097394
19.300000 4.895111 0.096762
19.400000 4.891203 0.096307
19.500000 4.888261 0.095626
19.600000 4.886171 0.094784
19.700000 4.885271 0.094057
19.800000 4.886289 0.093686
19.900000 4.888976 0.093593
20.000000 4.892801 0.093681
20.100000 4.897189 0.093767
20.200000 4.901797 0.093919
20.300000 4.906039 0.094471
20.400000 4.909394 0.095294
20.500000 4.911746 0.096351
20.600000 4.913151 0.097539
20.700000 4.913134 0.099027
20.800000 4.911438 0.101031
20.900000 4.908193 0.103303
21.000000 4.903323 0.105955
21.100000 4.897288 0.108555
21.200000 4.890565 0.110999
21.300000 4.882849 0.113534
21.400000 4.874903 0.116334
21.500000 4.867135 0.119631
21.600000 4.859672 0.122924
21.700000 4.852793 0.125592
21.800000 4.846783 0.127596
21.900000 4.841330 0.128861
22.000000 4.836623 0.129286
22.100000 4.832568 0.128867
22.200000 4.828649 0.127603
22.300000 4.825340 0.126001
22.400000 4.822693 0.124290
22.500000 4.820030 0.122566
22.600000 4.817481 0.120799
22.700000 4.815124 0.119041
22.800000 4.812189 0.117473
22.900000 4.808653 0.116278
23.000000 4.804657 0.115426
23.100000 4.800341 0.114804
23.200000 4.796053 0.114403
23.300000 4.791952 0.114248
23.400000 4.788045 0.114334
23.500000 4.785022 0.114163
23.600000 4.782439 0.113214
23.700000 4.780165 0.111664
23.800000 4.779034 0.109797
23.900000 4.778673 0.107479
24.000000 4.778783 0.104888
