depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.030000 5.819757 6.177237 6.456421 6.453308 6.730835 7.077586
0.170000 7.797308 8.132716 8.424805 8.443623 8.762396 9.188505
0.370000 4.645398 5.045933 5.375800 5.358777 5.658243 6.010927
0.570000 14.043288 14.479604 14.915508 14.891198 15.274098 15.688907
0.800000 17.736795 18.159750 18.430788 18.426194 18.696532 19.081586
0.930000 18.368665 18.756350 19.032587 19.048879 19.348052 19.766875
1.200000 22.916459 23.238214 23.552411 23.552863 23.841918 24.268011
1.400000 25.135546 25.496979 25.767029 25.762250 26.015039 26.388919
1.580000 29.282064 29.747994 30.066897 30.066614 30.409581 30.785222
1.820000 31.809752 32.276391 32.804421 32.769875 33.222601 33.682191
