depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.220000 6.620202 6.983940 7.282032 7.271887 7.541965 7.907286
0.300000 7.915521 8.257190 8.562296 8.581328 8.912366 9.323457
0.400000 8.726971 9.192403 9.552876 9.558576 9.932208 10.364243
0.730000 12.901245 13.285795 13.624754 13.658988 14.016707 14.691940
1.000000 13.794890 14.256978 14.723985 14.718619 15.163873 15.673146
1.100000 14.352522 15.000882 15.442262 15.422528 15.862644 16.345836
1.300000 15.313317 15.862256 16.286197 16.273704 16.688973 17.173142
1.700000 17.719128 18.269877 18.663928 18.666277 19.069008 19.658921
2.000000 20.456090 21.111037 21.671068 21.647755 22.157550 22.767709
2.200000 22.187850 22.832409 23.357896 23.365099 23.897796 24.652223
2.400000 23.582993 24.376282 25.053855 25.023782 25.633618 26.426968
