depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.525000 8.321904 8.739813 9.112077 9.113362 9.464096 9.981974
0.655000 9.819874 10.335360 10.749400 10.762093 11.168747 11.780107
0.755000 11.160248 11.726729 12.189049 12.148357 12.556847 12.976076
0.855000 12.333139 12.791474 13.111752 13.125748 13.454957 14.023582
0.955000 13.181067 13.656132 14.106205 14.146710 14.675073 15.214240
1.005000 13.642016 14.106082 14.548078 14.551787 14.994603 15.513013
1.105000 16.964096 17.415788 17.787654 17.772954 18.118387 18.557274
1.205000 17.316362 17.894757 18.309151 18.301281 18.695724 19.217735
1.505000 22.416757 23.018144 23.510393 23.516488 24.014938 24.716630
1.705000 27.035005 27.710035 28.269844 28.282306 28.855844 29.659241
2.205000 38.472032 40.697948 42.285254 42.258841 43.867854 45.805123
