depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 0.013957 0.092233 0.256992 0.286447 0.464530 0.746605
0.020000 0.072668 0.273266 0.492479 0.504544 0.716284 1.050250
0.220000 4.374557 4.784520 5.091820 5.080832 5.388675 5.743721
0.610000 8.624161 9.057842 9.384164 9.394450 9.739610 10.159042
0.710000 9.430836 9.787712 10.151092 10.159342 10.510986 10.989982
0.810000 9.933927 10.370256 10.723470 10.729871 11.070621 11.572082
0.900000 10.582051 11.053852 11.417620 11.417509 11.792469 12.270211
0.910000 10.614267 11.093677 11.439495 11.445942 11.815452 12.286700
0.960000 11.263927 11.720647 12.102403 12.076905 12.428321 12.721061
0.970000 11.302783 11.755528 12.128350 12.102262 12.454855 12.747031
1.070000 12.042103 12.560660 12.832157 12.818747 13.084922 13.486558
1.110000 12.399950 12.793651 13.046137 13.052855 13.323239 13.720352
1.170000 13.185619 13.531996 13.858829 13.894201 14.263656 14.804112
1.260000 14.006973 14.446974 14.895952 14.871515 15.269257 15.712256
1.270000 14.126124 14.657301 15.094165 15.071160 15.468072 15.909981
1.320000 15.047848 15.483187 15.840652 15.830887 16.175534 16.606370
1.410000 15.682554 16.127877 16.473498 16.467242 16.813800 17.209644
1.430000 15.946131 16.373412 16.710912 16.701864 17.022828 17.456678
1.560000 17.498037 17.974962 18.298381 18.284898 18.591279 18.946538
1.570000 17.919777 18.308742 18.615918 18.619587 18.924584 19.380446
1.630000 18.701900 19.036522 19.355669 19.362829 19.694362 20.101583
1.630000 19.001474 19.406785 19.748916 19.754075 20.102554 20.495854
1.810000 22.046517 22.445715 22.755194 22.763804 23.086993 23.563857
1.810000 22.208885 22.576299 22.897121 22.905449 23.233004 23.647980
