depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.060000 0.434102 0.715356 0.953930 0.964419 1.207572 1.550413
0.500000 4.997250 5.408569 5.688851 5.683249 5.968928 6.305228
1.000000 8.959413 9.357727 9.673759 9.684011 10.017107 10.457339
1.350000 10.384452 10.821434 11.205574 11.212757 11.600092 12.092820
1.650000 10.814617 11.274383 11.621836 11.627699 12.006477 12.425470
2.050000 10.959073 11.434134 11.839081 11.828988 12.235370 12.561289
2.450000 12.442052 12.786894 13.029360 13.039598 13.297022 13.678195
2.620000 12.126309 12.628433 12.863314 12.856878 13.106142 13.459129
2.850000 12.759462 13.076262 13.342698 13.362465 13.640480 14.111753
3.150000 13.572319 13.963897 14.343773 14.352877 14.750182 15.166082
4.200000 21.158231 21.635012 21.998961 21.969545 22.291431 22.645893
4.750000 14.456253 15.035303 15.399181 15.385210 15.745878 16.165084
5.280000 15.187058 15.693188 16.088443 16.076820 16.466878 16.918802
5.700000 15.360490 15.884212 16.279892 16.268755 16.650858 17.105281
6.030000 15.381883 15.842722 16.192904 16.188253 16.541722 16.931803
