depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.105000 3.810933 4.224732 4.558750 4.550780 4.867613 5.267981
0.155000 6.154717 6.468304 6.745242 6.745102 7.023702 7.310541
0.205000 8.490657 8.866823 9.196956 9.199273 9.497732 9.974905
0.255000 10.499030 10.963030 11.329817 11.333327 11.701629 12.185144
0.305000 12.435246 12.781634 13.019965 13.030795 13.286648 13.683019
0.355000 13.230915 13.561651 13.873681 13.912579 14.269017 14.810706
0.405000 13.553334 13.895320 14.264389 14.287592 14.689849 15.103813
0.455000 14.241424 14.815763 15.191998 15.170688 15.533642 15.945857
0.555000 16.903812 17.276115 17.599907 17.589971 17.905168 18.213305
0.605000 17.666227 18.086433 18.364300 18.355601 18.627754 18.983939
0.705000 19.181914 19.578764 19.898925 19.898809 20.216666 20.613178
0.755000 19.633188 20.077926 20.392102 20.387767 20.699805 21.128246
0.805000 20.386108 20.771864 21.098738 21.104861 21.446850 21.840036
