depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.005000 2.365421 2.762904 3.057557 3.059222 3.358181 3.755919
0.005000 3.081993 3.475498 3.787764 3.794298 4.113570 4.533635
0.885000 3.834354 4.251785 4.582023 4.575826 4.903767 5.281917
1.405000 7.429375 7.717667 7.970096 7.984852 8.245785 8.644346
1.665000 6.527593 6.877176 7.158762 7.147072 7.410805 7.735939
1.665000 9.128525 9.540537 9.867760 9.872934 10.193228 10.661090
2.005000 7.420464 7.748798 8.003851 8.012886 8.271107 8.686455
2.005000 8.574289 8.963512 9.279149 9.283260 9.594316 10.071670
2.245000 11.871097 12.370659 12.681550 12.657482 12.944351 13.300953
2.335000 13.383395 13.748771 14.097089 14.134248 14.547474 14.982114
2.705000 14.895266 15.343395 15.688959 15.681492 16.025263 16.431435
2.925000 16.243346 16.680873 17.024133 17.018292 17.349082 17.763353
3.245000 18.114880 18.442514 18.753664 18.756992 19.055628 19.450449
3.685000 21.826193 22.217419 22.495808 22.497849 22.788511 23.145701
4.045000 23.963309 24.353337 24.711355 24.701573 25.036729 25.411192
