depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.015000 0.036188 0.179211 0.391618 0.407448 0.606756 0.933359
0.485000 9.825424 10.260063 10.604502 10.612269 10.976592 11.399774
0.615000 11.341401 11.769124 12.148601 12.118846 12.457585 12.750122
0.685000 13.859888 14.279545 14.678969 14.673525 15.051950 15.463452
0.765000 15.640629 16.070496 16.406461 16.401211 16.742503 17.119061
0.805000 16.133746 16.553684 16.891880 16.887141 17.214971 17.645069
0.825000 15.300818 15.747757 16.080573 16.076703 16.418480 16.805816
0.855000 17.358110 17.799452 18.100958 18.092073 18.407211 18.727575
0.905000 18.159068 18.506647 18.809400 18.814884 19.110962 19.508496
0.905000 17.953601 18.344175 18.644332 18.644657 18.936660 19.387032
0.935000 18.209949 18.570005 18.865246 18.881618 19.197799 19.622993
0.945000 17.203637 17.601793 17.929519 17.913884 18.197465 18.577183
0.975000 18.860789 19.224878 19.565318 19.564439 19.887911 20.274513
1.055000 19.323420 19.711499 20.038998 20.039113 20.361626 20.744751
1.165000 20.290030 20.704298 21.025410 21.032189 21.370272 21.794819
