depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 0.182600 0.459947 0.681665 0.698466 0.935560 1.257250
0.300000 0.659985 0.989282 1.302684 1.323588 1.649636 2.120084
0.590000 1.873058 2.288641 2.611475 2.609815 2.934921 3.324219
0.650000 1.790901 2.200520 2.529215 2.524072 2.836429 3.253658
0.850000 2.558280 2.964695 3.278938 3.282516 3.599726 4.034652
1.020000 3.794755 4.206015 4.535531 4.529307 4.843289 5.237323
1.030000 3.877326 4.354420 4.741338 4.735179 5.127550 5.516727
1.130000 4.260212 4.676899 5.016561 5.001274 5.315370 5.667397
1.550000 7.470151 7.782954 8.063416 8.078138 8.357871 8.829041
1.750000 8.938247 9.423728 9.811487 9.824508 10.209121 10.798118
2.020000 10.946629 11.764342 12.393495 12.344780 12.905090 13.601897
2.830000 13.523523 13.978047 14.409266 14.415729 14.848881 15.346210
2.830000 13.305769 13.642605 13.951514 13.998301 14.381584 14.874302
3.890000 16.006552 16.632357 17.083939 17.074499 17.544130 18.047646
5.410000 17.070021 17.544138 17.926084 17.908398 18.260975 18.668344
6.510000 17.237771 18.111746 18.708394 18.718390 19.358179 20.187040
7.310000 18.852350 19.245039 19.615886 19.621542 19.988085 20.456638
8.510000 19.409025 19.854263 20.219328 20.217276 20.567599 21.023110
8.510000 19.621480 20.136338 20.530509 20.533480 20.921345 21.502649
10.520000 20.467954 20.933999 21.329798 21.329090 21.729389 22.149045
13.020000 22.383068 22.797723 23.140615 23.148733 23.515118 23.917229
14.505000 22.967546 23.402849 23.804882 23.801755 24.187437 24.675575
17.265000 25.572425 26.009967 26.375361 26.382316 26.781363 27.151730
17.730000 25.516515 25.931738 26.266322 26.292878 26.696806 27.083526
18.375000 26.964095 27.504865 27.945088 27.959440 28.422235 28.986086
19.000000 28.935537 29.467434 29.957099 29.951891 30.425033 30.907885
19.910000 34.167358 34.946131 35.626732 35.657376 36.340393 37.456099
20.400000 36.362357 37.611257 38.822136 38.725998 39.794586 40.769578
21.000000 39.176562 40.628803 41.625929 41.553921 42.399686 43.798180
21.000000 39.328157 39.964400 40.489610 40.449675 40.929000 41.423878
21.670000 41.446376 42.924810 44.401195 44.514759 46.128221 48.210134
