depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.030000 0.006259 0.040765 0.142123 0.184878 0.326370 0.609842
0.980000 4.749104 5.149821 5.460502 5.450943 5.746819 6.102392
1.100000 5.517748 5.860800 6.131371 6.136083 6.418480 6.785057
1.630000 8.233702 8.560462 8.880913 8.885449 9.210256 9.594386
1.900000 9.013135 9.419033 9.727751 9.739312 10.072631 10.502397
2.250000 11.160112 11.611385 12.013058 11.990097 12.370450 12.694491
2.575000 12.985866 13.305354 13.597934 13.630676 13.943299 14.546911
2.900000 15.542122 16.000073 16.351590 16.347045 16.706840 17.121158
3.100000 17.937052 18.324855 18.634372 18.632309 18.937716 19.344346
3.800000 22.736946 23.105055 23.421924 23.419443 23.709144 24.128099
4.200000 25.815259 26.227529 26.606743 26.594299 26.950213 27.333865
4.500000 27.517698 27.952775 28.377355 28.387065 28.798568 29.391759
4.630000 29.549405 30.052499 30.391146 30.381285 30.730338 31.067705
5.080000 31.820607 32.381337 33.030102 32.976934 33.525109 34.008042
5.425000 32.578650 33.752969 34.459102 34.448463 35.159641 36.050396
5.630000 34.937600 35.563915 36.095134 36.126797 36.672401 37.529032
6.180000 38.593711 39.655777 40.312994 40.255607 40.883107 41.504851
6.500000 40.299407 41.693203 42.525589 42.560802 43.542200 44.694252
6.800000 40.037643 42.058081 43.549238 43.619979 45.277866 47.282754
