depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.245000 0.455394 0.733156 0.970925 0.981727 1.221234 1.571032
0.545000 1.411770 1.771643 2.077250 2.081403 2.384768 2.759769
1.045000 3.246145 3.638339 3.963980 3.968140 4.303946 4.722176
1.545000 4.283144 4.683187 5.004214 4.993791 5.300172 5.619914
1.545000 4.325050 4.737354 5.050818 5.042858 5.348911 5.678003
1.845000 5.660565 5.991815 6.272106 6.272606 6.555011 6.929814
2.045000 6.258833 6.585683 6.866565 6.863150 7.138812 7.439334
2.245000 7.390285 7.682195 7.935503 7.946445 8.206906 8.591174
2.845000 8.895312 9.300081 9.616985 9.627461 9.961309 10.374371
3.045000 10.844673 11.311805 11.660664 11.669069 12.047218 12.444427
3.545000 11.333198 11.781496 12.151259 12.122641 12.463286 12.741695
4.585000 14.573924 15.140388 15.487238 15.477480 15.824522 16.248736
4.595000 14.523941 15.068792 15.426644 15.417330 15.775060 16.198582
4.810000 15.015116 15.493097 15.840820 15.836877 16.191956 16.622991
5.385000 16.222974 16.628338 16.957673 16.953798 17.273617 17.707777
5.395000 16.134049 16.558746 16.902870 16.897936 17.227941 17.675001
5.605000 16.722780 17.152127 17.478910 17.473239 17.801093 18.150822
6.405000 18.229777 18.614776 18.901573 18.914126 19.229775 19.656623
6.585000 18.765191 19.101755 19.431066 19.443620 19.788732 20.213109
7.405000 21.028460 21.480975 21.848306 21.822579 22.149780 22.531823
8.000000 22.405206 22.897822 23.272288 23.280635 23.668537 24.178170
8.415000 23.403831 23.843249 24.132224 24.147957 24.477746 24.886284
9.185000 24.971565 25.370177 25.673637 25.660027 25.931403 26.317671
9.215000 24.937372 25.349099 25.669276 25.656243 25.937258 26.367724
10.120000 27.370457 27.854401 28.274596 28.281941 28.701830 29.280971
10.195000 27.596370 27.909070 28.224113 28.225952 28.536388 28.885464
10.480000 28.037726 28.682621 29.127973 29.124138 29.592374 30.034962
10.785000 28.934598 29.264817 29.572621 29.560512 29.849042 30.168338
10.795000 28.733008 29.096860 29.381338 29.380653 29.683515 29.970377
11.750000 31.200262 31.788471 32.434527 32.456938 33.131722 33.839599
11.995000 31.966151 32.622003 33.199411 33.148135 33.640998 34.086076
12.030000 32.240437 32.904167 33.296397 33.263503 33.642947 33.991501
12.160000 32.027379 32.916356 33.559920 33.497610 34.064941 34.656884
12.670000 34.705664 35.448432 36.056492 36.100196 36.744567 37.837584
12.795000 34.354130 34.891922 35.426209 35.434903 35.945167 36.663340
12.830000 35.107443 35.519520 35.881309 35.885761 36.225149 36.771371
13.360000 36.034005 37.174633 38.282590 38.236687 39.262835 40.279155
13.405000 36.193612 36.922932 37.678950 37.684438 38.463622 39.167483
13.510000 36.578738 37.129386 37.645675 37.671262 38.238946 38.813411
13.615000 37.564148 38.739202 39.442159 39.369524 40.021065 40.628896
13.785000 37.970789 39.209499 39.822455 39.764168 40.404000 40.992712
14.040000 38.110901 39.348943 40.051518 39.993990 40.702222 41.387308
14.160000 37.680712 39.446671 40.508716 40.381464 41.374786 42.155073
14.390000 39.710886 40.654748 41.318775 41.248733 41.844297 42.354923
14.740000 42.237367 42.552628 42.872410 42.945010 43.374375 43.980792
14.815000 41.759498 42.747388 43.617881 43.697146 44.654543 46.067230
14.830000 42.288307 43.196235 44.199936 44.274624 45.341244 46.812173
15.350000 46.004900 47.337910 48.700689 48.795324 50.257367 52.040677
15.405000 43.357420 45.118077 46.835999 46.949600 48.798345 51.179223
15.460000 44.867249 45.892701 46.800194 46.862275 47.816977 49.271211
15.480000 44.768035 46.644541 48.621038 48.721352 50.866930 53.346195
15.815000 44.105768 45.908880 47.792948 47.889476 49.885371 52.137998
15.980000 46.376490 48.291315 50.156516 50.222274 52.165288 54.295829
