depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.170000 0.105684 0.333199 0.561857 0.572277 0.797704 1.120964
0.290000 0.291167 0.576662 0.802771 0.815142 1.060181 1.388599
0.530000 0.495233 0.751455 0.993499 1.007161 1.249959 1.605931
0.650000 1.411400 1.747738 2.051083 2.062684 2.369405 2.768716
0.750000 0.941904 1.267681 1.531539 1.545255 1.828830 2.231975
0.890000 3.481688 3.877339 4.210576 4.208876 4.527665 4.922895
1.010000 3.410664 3.795002 4.118247 4.122591 4.451743 4.848463
1.230000 4.470472 4.885583 5.197492 5.184838 5.485040 5.832964
1.580000 6.776094 7.138383 7.399615 7.393015 7.644612 7.977383
1.860000 7.328001 7.638328 7.878683 7.890777 8.147149 8.524734
2.020000 9.164216 9.574763 9.889567 9.900813 10.223812 10.684469
2.300000 10.777565 11.259322 11.609366 11.618589 12.002307 12.400711
2.590000 12.582618 12.857683 13.110439 13.124659 13.381249 13.811392
2.780000 12.523092 12.860831 13.110168 13.119608 13.377885 13.787743
3.240000 13.894020 14.321969 14.733710 14.718242 15.098977 15.524842
3.280000 16.395356 16.835063 17.162616 17.163085 17.503741 17.882159
3.500000 18.327576 18.743744 19.027871 19.038315 19.343206 19.788979
4.120000 22.456270 22.817167 23.101082 23.110483 23.432853 23.749100
