depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.125000 0.230193 0.565093 0.867939 0.892754 1.207017 1.705531
0.298000 0.626324 0.943133 1.216318 1.230694 1.510511 1.934983
0.497500 2.370330 2.813175 3.151853 3.154758 3.492661 3.976312
0.695000 3.881763 4.538618 5.020038 5.000911 5.468752 5.978437
0.898000 5.007225 5.503865 5.833573 5.826941 6.164239 6.587720
1.110000 6.741489 7.174868 7.491074 7.483522 7.793177 8.231080
1.295000 7.637855 8.000858 8.302903 8.327308 8.673451 9.102829
1.410000 8.890869 9.386337 9.757987 9.760047 10.125654 10.627679
1.495000 9.651567 10.154132 10.544852 10.551743 10.962160 11.477222
1.695000 11.077392 11.546741 11.987341 11.963549 12.372403 12.722554
1.800000 10.852852 11.397216 11.843807 11.825921 12.265008 12.620375
1.895000 11.353491 11.908875 12.340160 12.299415 12.670287 13.036193
2.000000 11.704734 12.336783 12.733256 12.707347 13.067338 13.547372
2.085000 12.744141 13.174821 13.559178 13.607779 14.035311 14.793462
2.295000 13.306535 13.761305 14.212115 14.238607 14.729892 15.287354
2.495000 13.585761 14.039981 14.491296 14.494606 14.944969 15.468595
2.600000 13.797299 14.316351 14.829533 14.813104 15.294455 15.814215
2.800000 15.023664 15.596489 16.043232 16.038467 16.494655 17.004405
2.990000 15.531980 16.104467 16.519800 16.516359 16.932816 17.472040
3.295000 16.345172 16.901805 17.333113 17.325665 17.758326 18.209455
3.600000 16.996423 17.572330 18.063258 18.041546 18.501559 19.032428
4.000000 19.172356 19.737421 20.227067 20.231625 20.704047 21.360025
4.410000 18.201778 18.725680 19.141758 19.163030 19.626224 20.218489
5.210000 23.558881 24.088832 24.541050 24.534345 24.974579 25.482356
5.510000 21.867623 22.417520 22.835788 22.840052 23.284759 23.790179
6.310000 25.805150 26.210848 26.623594 26.611736 26.995271 27.436291
6.910000 24.658198 25.229789 25.636897 25.628457 26.025055 26.609007
