depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.030000 2.994073 3.256029 3.504095 3.496745 3.733864 3.958226
0.100000 3.764082 3.999320 4.250049 4.267711 4.530160 4.850634
0.200000 7.849531 8.119788 8.369935 8.392379 8.683032 8.979271
0.285000 9.537482 10.334642 11.746149 11.756878 13.117928 14.063862
0.370000 13.982766 14.331927 14.731523 14.715757 15.069572 15.409374
0.470000 15.420215 16.002141 16.597330 16.597350 17.170916 17.810137
0.570000 16.970807 17.621612 18.084677 18.082502 18.576160 19.047685
0.670000 18.911548 19.205623 19.492441 19.496413 19.789771 20.081983
0.800000 20.556500 20.938773 21.287254 21.301122 21.680445 22.159569
0.930000 22.594845 22.902206 23.122443 23.143338 23.425910 23.629350
1.065000 23.983671 24.783903 25.416213 25.391979 25.920585 26.789282
1.200000 27.351393 27.545584 27.784028 27.798818 28.035701 28.354522
1.315000 28.851843 29.306103 29.619889 29.656030 30.031450 30.602654
1.430000 30.907690 31.102771 31.315835 31.333658 31.567369 31.869334
1.515000 31.834447 32.226816 32.534167 32.526781 32.814235 33.181301
1.600000 33.185536 33.475958 33.741303 33.726401 33.977286 34.186698
1.685000 34.211223 34.679277 35.001550 34.998598 35.329876 35.738506
1.770000 35.794832 36.057915 36.297513 36.311498 36.565577 36.852850
1.900000 37.440235 37.856001 38.259625 38.226841 38.584615 38.907547
