depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.220000 6.901480 7.149902 7.387674 7.384333 7.605290 7.862347
0.300000 8.034881 8.248586 8.469202 8.477950 8.709331 8.969233
0.400000 9.011444 9.317753 9.550370 9.567759 9.814893 10.140589
0.510000 9.771664 10.385060 11.003119 11.084004 11.864843 12.580394
0.620000 10.884031 11.924107 12.535688 12.429033 12.940869 13.319133
0.730000 12.963836 13.227564 13.453427 13.448255 13.676296 13.902368
0.865000 13.675823 13.923434 14.166803 14.167500 14.423663 14.640911
1.000000 14.324038 14.638081 14.853350 14.844378 15.055112 15.265507
1.100000 14.936313 15.173559 15.375243 15.375947 15.578828 15.764086
1.200000 15.456532 15.669513 15.888697 15.894435 16.109741 16.351598
1.300000 15.973131 16.189255 16.403468 16.409444 16.633605 16.844109
1.433333 16.542293 16.851822 17.144928 17.142618 17.412310 17.781955
1.566667 17.278540 17.607023 17.885569 17.893705 18.188354 18.534099
1.700000 18.198026 18.400208 18.691749 18.710688 19.000900 19.356490
1.800000 18.753347 19.066514 19.495951 19.575803 20.147174 20.851967
1.900000 19.464287 19.954445 20.546397 20.564432 21.207668 21.692544
2.000000 20.721962 21.199913 21.656993 21.624545 22.040577 22.333450
2.100000 21.525886 22.103928 22.527293 22.503468 22.907916 23.317607
2.200000 22.613243 22.961803 23.328201 23.324773 23.685459 24.095531
2.300000 23.270703 23.665431 24.086237 24.094449 24.517356 24.949456
2.400000 24.049651 24.413895 24.881239 24.893369 25.345660 25.803512
