depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.525000 8.609447 8.898168 9.150809 9.147068 9.393498 9.656888
0.655000 10.319384 10.533861 10.775667 10.779961 11.023714 11.251131
0.755000 11.517918 11.767778 12.011233 12.005864 12.255435 12.471323
0.855000 12.653837 12.865182 13.078332 13.076787 13.289566 13.503959
0.955000 13.605446 13.880815 14.149644 14.142387 14.393931 14.635432
1.005000 14.230111 14.528661 14.814373 14.816421 15.090312 15.392339
1.105000 16.834312 17.151318 17.477337 17.476429 17.793687 18.059253
1.205000 18.019201 18.270846 18.554211 18.556094 18.818509 19.174645
1.305000 19.014049 19.454874 19.932295 19.992652 20.487759 21.460869
1.405000 20.245611 20.881182 21.586262 21.585186 22.233420 23.043372
1.505000 22.632240 23.086620 23.483526 23.497782 23.901676 24.410337
1.605000 24.040851 24.930283 25.769904 25.754102 26.557339 27.511757
1.705000 27.271293 27.731375 28.233180 28.236219 28.749998 29.290539
1.830000 29.016724 30.140631 31.513808 31.917322 33.769327 36.862933
1.955000 30.935047 32.869537 35.362205 35.377916 37.857310 39.844266
2.080000 33.806571 36.648678 39.091023 38.797372 40.853688 42.513080
2.205000 37.653493 40.406926 42.055888 41.930306 43.443810 45.263902
