depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 0.033367 0.148532 0.300775 0.294895 0.430417 0.564571
0.020000 0.192081 0.312013 0.460685 0.453007 0.578560 0.731907
0.120000 1.139198 1.659593 2.699990 2.738426 3.792856 4.578951
0.220000 4.512239 4.808096 5.080104 5.066277 5.334151 5.589685
0.350000 5.723376 6.222701 6.733457 6.752183 7.264387 7.854286
0.480000 7.143176 7.671628 8.133865 8.096783 8.502731 8.889968
0.610000 8.862115 9.102267 9.285656 9.287785 9.481630 9.673975
0.710000 9.722659 9.898404 10.079970 10.078597 10.259026 10.441056
0.810000 10.427289 10.610854 10.789266 10.791673 10.974951 11.140853
0.900000 11.170197 11.320301 11.472668 11.472146 11.621638 11.775735
0.910000 11.260254 11.414143 11.557457 11.559260 11.702963 11.847601
0.960000 11.714190 11.853682 11.997656 11.997806 12.143753 12.296799
0.970000 11.802955 11.941397 12.079928 12.087441 12.239191 12.404314
1.070000 12.577977 12.716405 12.856073 12.851531 12.982234 13.123058
1.110000 12.898891 13.036342 13.180901 13.181992 13.324326 13.470257
1.170000 13.441713 13.635422 13.813771 13.827326 14.013923 14.245508
1.260000 14.475252 14.734045 14.966970 14.950638 15.161347 15.346278
1.270000 14.615153 14.896258 15.115228 15.098862 15.302172 15.496208
1.320000 15.268206 15.478309 15.671409 15.676582 15.868511 16.080520
1.410000 16.148923 16.332525 16.533998 16.528348 16.720964 16.902899
1.430000 16.379258 16.565481 16.756688 16.757935 16.938181 17.141874
1.560000 18.011895 18.191186 18.369173 18.370166 18.554256 18.719949
1.570000 18.209614 18.362356 18.562473 18.552837 18.730468 18.902890
1.630000 19.099378 19.319488 19.507261 19.516381 19.721851 19.927129
1.720000 20.102271 20.718210 21.317590 21.275094 21.832225 22.302416
1.810000 22.406054 22.582619 22.789424 22.783552 22.959992 23.187655
