depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.280000 4.001254 4.323544 4.618134 4.614666 4.908432 5.204529
0.355000 4.781961 5.257356 5.917797 5.918365 6.592325 6.995945
0.430000 6.814927 7.071035 7.315971 7.307366 7.544630 7.736217
0.550000 7.661075 8.073495 8.651348 8.778355 9.471594 10.659996
0.670000 8.476770 9.079726 9.999301 10.042621 11.016447 11.749271
0.790000 9.338427 10.235423 11.317576 11.217676 12.159830 12.578362
0.910000 10.547582 11.712496 12.547221 12.382776 13.010650 13.288120
1.030000 13.241010 13.420570 13.614487 13.608733 13.795313 13.957028
1.050000 13.507900 13.665858 13.833415 13.826890 13.980997 14.140729
1.075000 13.832053 13.974869 14.112181 14.117477 14.269349 14.432881
1.080000 13.893319 14.024956 14.175237 14.175650 14.328106 14.476470
1.100000 14.089585 14.229456 14.379893 14.378060 14.524803 14.648662
1.125000 14.314872 14.447147 14.584933 14.581562 14.718715 14.830097
1.150000 14.502123 14.632120 14.766391 14.758568 14.888145 14.991528
1.175000 14.683923 14.807144 14.932541 14.925047 15.038571 15.140420
1.200000 14.872037 14.973141 15.085577 15.082268 15.191278 15.279161
1.225000 15.028187 15.134432 15.236310 15.234948 15.338511 15.435621
1.250000 15.192858 15.285943 15.386257 15.383405 15.474831 15.571732
1.275000 15.355175 15.435940 15.529675 15.528566 15.616991 15.696634
1.300000 15.485127 15.583531 15.678097 15.670054 15.751947 15.827841
1.325000 15.630287 15.724587 15.814094 15.809492 15.891347 15.972510
1.350000 15.777916 15.868937 15.957050 15.955066 16.039138 16.112899
1.375000 15.925014 16.018244 16.107314 16.104277 16.187874 16.256382
1.380000 15.952093 16.053404 16.140985 16.138526 16.220132 16.301678
1.400000 16.078416 16.174645 16.265630 16.261968 16.343098 16.417287
1.425000 16.233524 16.337092 16.433256 16.425356 16.510588 16.581187
1.450000 16.471203 16.555021 16.627826 16.629014 16.708040 16.781761
1.475000 16.643587 16.722260 16.795252 16.797148 16.872422 16.954119
1.500000 16.803643 16.893206 16.985835 16.996466 17.105169 17.243178
1.525000 17.141341 17.323120 17.512743 17.512958 17.706432 17.880744
1.550000 17.477378 17.664929 17.818178 17.812727 17.966165 18.081461
1.565000 17.779907 17.912074 18.027212 18.021447 18.139537 18.224571
1.575000 17.897470 18.037368 18.148690 18.141313 18.247974 18.341056
1.585000 18.020475 18.136639 18.243290 18.242822 18.344973 18.452401
1.600000 18.161515 18.251181 18.367080 18.365211 18.468545 18.572536
1.625000 18.334263 18.432293 18.549225 18.545826 18.652647 18.760246
1.650000 18.501767 18.621565 18.721719 18.724279 18.834590 18.943846
1.675000 18.677288 18.794171 18.894785 18.900284 19.015153 19.115018
1.700000 18.851318 18.965615 19.070775 19.077221 19.196200 19.298444
1.750000 19.186129 19.288588 19.401200 19.401735 19.510815 19.631705
1.765000 19.296256 19.405813 19.514080 19.516977 19.627418 19.759457
1.775000 19.383080 19.488250 19.596566 19.603839 19.716086 19.872117
1.800000 19.564160 19.679275 19.798041 19.801485 19.924724 20.087269
1.825000 19.728334 19.842722 19.969698 19.975257 20.100106 20.242855
1.830000 19.762809 19.879053 20.011179 20.013691 20.140394 20.278688
1.850000 19.900492 20.024351 20.153819 20.158278 20.290091 20.427427
1.875000 20.073253 20.202170 20.327681 20.333244 20.471296 20.611891
1.900000 20.290128 20.409983 20.547562 20.550352 20.682620 20.847826
1.925000 20.489931 20.618737 20.755624 20.763198 20.908323 21.073678
1.950000 20.708947 20.847176 20.999927 21.006363 21.168168 21.331133
1.965000 20.887116 21.005400 21.181200 21.181211 21.353841 21.526638
1.975000 20.982206 21.107811 21.285322 21.293746 21.473137 21.662208
2.000000 21.175504 21.328605 21.513246 21.516438 21.704120 21.860441
2.025000 21.377834 21.542339 21.721118 21.720420 21.903163 22.057332
2.050000 21.579772 21.746685 21.919623 21.921236 22.103310 22.248504
2.075000 21.807076 21.974679 22.161996 22.159052 22.321191 22.508761
2.100000 22.166493 22.312746 22.499337 22.535598 22.763679 23.031813
2.125000 23.355107 23.661900 23.856849 23.826784 23.985739 24.149794
2.150000 23.685853 23.898607 24.057180 24.046693 24.191016 24.352239
2.175000 23.888270 24.088225 24.226678 24.225912 24.366051 24.521443
2.200000 24.066069 24.237048 24.384004 24.380796 24.525325 24.688695
2.225000 24.227055 24.392400 24.529064 24.530148 24.672073 24.835593
2.250000 24.398439 24.570601 24.708398 24.714836 24.859777 25.035755
2.275000 24.615837 24.761064 24.892732 24.900380 25.051898 25.219465
2.300000 24.771908 24.944797 25.099112 25.107308 25.282715 25.448126
