depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.305000 4.584913 4.865665 5.115994 5.102800 5.346730 5.578651
0.405000 6.342383 6.476676 6.638555 6.640735 6.801503 6.959081
0.505000 7.701290 7.894947 8.081050 8.076152 8.254571 8.446006
0.575000 8.609161 8.806854 9.011195 9.012845 9.222472 9.381882
0.605000 9.165990 9.387179 9.583387 9.591925 9.793816 10.021263
0.655000 9.942829 10.141567 10.368078 10.397381 10.672827 10.983029
0.675000 10.656051 10.958569 11.230619 11.215008 11.471216 11.694406
0.705000 11.317360 11.534530 11.736415 11.746298 11.972875 12.197231
0.755000 11.966577 12.161811 12.354092 12.342067 12.525881 12.672695
0.805000 12.601140 12.759322 12.921186 12.916345 13.058916 13.216568
0.855000 13.190946 13.318530 13.475013 13.478529 13.638864 13.809687
0.905000 13.542723 13.662066 13.815961 13.820675 13.970811 14.147047
0.955000 13.812592 13.951531 14.088257 14.098398 14.246895 14.445999
1.005000 14.144072 14.283339 14.424914 14.430730 14.581445 14.737217
1.055000 14.484982 14.630692 14.769484 14.772256 14.920790 15.045381
1.105000 14.816092 14.954150 15.085466 15.084695 15.218959 15.329909
1.155000 15.108335 15.223580 15.361514 15.356334 15.477926 15.607959
1.205000 15.358981 15.466628 15.585891 15.594255 15.723064 15.863275
1.255000 15.638569 15.749599 15.872139 15.877583 16.003502 16.141104
1.305000 15.930017 16.050026 16.177733 16.178629 16.305192 16.440459
1.345000 16.178042 16.297558 16.440595 16.441566 16.576345 16.722558
1.405000 16.498796 16.655030 16.818738 16.817720 16.976978 17.145440
1.465000 17.089725 17.244969 17.426852 17.437762 17.614003 17.868131
1.505000 17.404278 17.580747 17.826667 17.820165 18.037222 18.238682
1.605000 18.016986 18.308356 18.634050 18.633661 18.916104 19.293804
1.705000 18.799300 19.122504 19.410107 19.406188 19.697676 19.998395
1.805000 19.874110 20.080064 20.260248 20.263441 20.447548 20.628717
1.825000 20.126001 20.310809 20.509947 20.522997 20.739178 20.959963
1.855000 21.060284 21.395287 21.699022 21.662029 21.926538 22.101518
1.905000 21.939943 22.159509 22.364363 22.369135 22.576238 22.812748
