depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.105000 4.097712 4.403707 4.667391 4.665089 4.940404 5.222008
0.155000 6.255045 6.480719 6.730050 6.730940 6.986786 7.212613
0.205000 8.578275 8.922656 9.210172 9.201693 9.470215 9.818618
0.255000 10.709020 11.065183 11.343241 11.360748 11.695112 12.033933
0.305000 12.601014 12.777493 12.942338 12.946189 13.120684 13.299906
0.355000 13.452878 13.605079 13.775271 13.784316 13.963174 14.156135
0.405000 14.080113 14.296096 14.518735 14.516676 14.741442 14.912526
0.455000 14.949080 15.188175 15.394589 15.385881 15.587448 15.772701
0.555000 17.080251 17.268548 17.431439 17.446664 17.629848 17.835131
0.605000 17.908373 18.123561 18.299405 18.300013 18.477197 18.680903
0.705000 19.423513 19.578607 19.768288 19.774229 19.972416 20.158263
0.755000 20.063708 20.259996 20.429158 20.433029 20.621835 20.794207
0.805000 20.778683 20.990573 21.232640 21.232756 21.473660 21.680855
