depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.005000 2.756800 2.923125 3.126517 3.120828 3.314990 3.497887
0.130714 2.992906 3.196213 3.421678 3.419442 3.635502 3.836725
0.256429 3.269046 3.486390 3.715418 3.717383 3.952648 4.172676
0.382143 3.553988 3.767114 4.001447 4.006295 4.257160 4.491666
0.507857 3.839772 4.068254 4.285536 4.304952 4.550381 4.818611
0.633571 4.102077 4.369327 4.594652 4.602722 4.846936 5.104804
0.759286 4.381860 4.652803 4.891994 4.901380 5.146692 5.436652
0.885000 4.722740 4.979919 5.196400 5.209486 5.458485 5.758845
1.015000 5.164925 5.425026 5.722686 5.762976 6.113683 6.554463
1.145000 5.630381 5.973434 6.376375 6.395905 6.854602 7.130149
1.275000 6.305517 6.688733 7.084374 7.048845 7.383710 7.647634
1.405000 7.080127 7.403527 7.629877 7.610410 7.822138 8.004100
1.535000 7.394697 7.704687 7.947876 7.931799 8.157899 8.366976
1.665000 7.736176 8.023137 8.249542 8.247762 8.490513 8.683629
1.778333 8.036930 8.304431 8.538313 8.529310 8.773495 8.967821
1.891667 8.303909 8.585038 8.831722 8.817178 9.039401 9.250314
2.005000 8.702968 8.923396 9.145124 9.135257 9.342843 9.532840
2.125000 9.210751 9.574701 10.491568 10.647550 11.890742 12.404492
2.245000 12.161466 12.521247 12.752644 12.747335 12.983213 13.224002
2.335000 13.299752 13.553428 13.846128 13.856816 14.163871 14.527008
2.458333 13.865924 14.216425 14.551049 14.561776 14.916280 15.256525
2.581667 14.428817 14.842377 15.184115 15.161671 15.499724 15.775642
2.705000 15.247682 15.513930 15.771560 15.765956 16.016269 16.225581
2.815000 15.770752 16.089866 16.361226 16.374277 16.674722 17.046964
2.925000 16.481883 16.747405 16.976449 16.989881 17.249884 17.529258
3.031667 16.936149 17.230116 17.553670 17.560313 17.895816 18.282505
3.138333 17.456259 17.825732 18.162288 18.147174 18.477313 18.795574
3.245000 18.270616 18.520719 18.783682 18.777827 19.033020 19.288272
3.355000 18.765260 19.137798 19.605870 19.702763 20.276672 21.119304
3.465000 19.384578 19.913916 20.618650 20.616727 21.333444 21.843276
3.575000 20.162587 20.965581 21.663481 21.552481 22.079260 22.433841
3.685000 22.046049 22.265495 22.484851 22.490757 22.729610 22.934039
3.805000 22.640873 22.911444 23.233883 23.272088 23.647890 24.115385
3.925000 23.237018 23.620654 23.995472 23.991307 24.366256 24.701918
4.045000 24.073855 24.351775 24.677485 24.662361 24.953353 25.228378
