depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 0.417000 0.598653 0.816936 0.806755 1.007014 1.199701
0.155000 0.698798 0.876352 1.092360 1.105919 1.332335 1.574695
0.300000 1.041001 1.196485 1.413820 1.430662 1.673553 1.946378
0.445000 1.354680 1.651093 1.990878 1.997229 2.355882 2.604395
0.590000 2.216754 2.395070 2.567131 2.568961 2.745117 2.932524
0.650000 2.386624 2.532695 2.700510 2.710546 2.878512 3.088295
0.750000 2.671212 2.876070 3.111224 3.131113 3.393681 3.624533
0.850000 3.154254 3.334752 3.552825 3.552740 3.765208 3.991154
0.935000 3.569402 3.805443 4.042406 4.046522 4.295351 4.482723
1.020000 4.167920 4.346575 4.531819 4.530846 4.716309 4.884358
1.030000 4.190223 4.371689 4.555974 4.554022 4.737921 4.910619
1.130000 4.664165 4.834813 5.048893 5.052357 5.268438 5.458471
1.270000 5.562905 5.817030 6.104480 6.100505 6.372879 6.633471
1.410000 6.654420 6.892298 7.117167 7.148291 7.437382 7.729214
1.550000 7.801416 7.979943 8.174984 8.181196 8.378781 8.627399
1.650000 8.355206 8.607750 8.858603 8.852696 9.090749 9.338854
1.750000 9.036779 9.252462 9.535993 9.521553 9.770492 9.981837
1.885000 9.566873 10.012762 10.454500 10.399879 10.769398 10.986450
2.020000 10.428138 10.860786 11.342713 11.297552 11.693309 11.969235
2.155000 10.875177 11.364741 11.779020 11.778098 12.184555 12.645998
2.290000 11.305778 11.798038 12.246490 12.257818 12.731872 13.136228
2.425000 11.875346 12.248575 12.719714 12.735492 13.212629 13.682551
2.560000 12.273110 12.717979 13.205957 13.191567 13.657556 14.022457
2.695000 12.885024 13.240700 13.663335 13.633417 13.998075 14.351768
2.830000 13.639116 13.840225 14.045011 14.070072 14.302091 14.634274
2.962500 13.881066 14.084937 14.361994 14.400888 14.699771 15.126708
3.095000 14.090303 14.384208 14.728361 14.755245 15.141208 15.603864
3.227500 14.305116 14.653300 15.062530 15.073049 15.503668 15.906156
3.360000 14.563316 14.961750 15.378423 15.387297 15.827101 16.234390
3.492500 14.840100 15.273616 15.712672 15.699711 16.136015 16.476036
3.625000 15.192107 15.611441 16.018286 15.992840 16.374145 16.648321
3.757500 15.542336 15.956259 16.295230 16.262446 16.576581 16.803323
3.890000 15.942017 16.242097 16.505403 16.496165 16.754415 16.965394
4.028182 16.138805 16.426240 16.675524 16.662841 16.917279 17.121581
4.166364 16.321406 16.583487 16.813800 16.807208 17.048620 17.276627
4.304545 16.480740 16.714980 16.942073 16.940751 17.168579 17.373370
4.442727 16.590226 16.856847 17.071869 17.070334 17.286914 17.510325
4.580909 16.752130 16.992405 17.195366 17.195932 17.406789 17.614550
4.719091 16.899797 17.115043 17.317221 17.315610 17.517253 17.733862
4.857273 17.043148 17.240157 17.438170 17.435220 17.625018 17.847899
4.995455 17.174470 17.358368 17.556653 17.553760 17.741407 17.968358
5.133636 17.314498 17.477641 17.670344 17.669562 17.852797 18.075265
5.271818 17.420953 17.600855 17.783319 17.785845 17.965952 18.185481
5.410000 17.545842 17.716717 17.893801 17.897686 18.071729 18.286060
5.547500 17.656939 17.823780 18.001708 18.006722 18.179807 18.375704
5.685000 17.778562 17.937212 18.109805 18.115791 18.288323 18.509686
5.822500 17.876728 18.035846 18.218368 18.223552 18.400407 18.607237
5.960000 17.981797 18.142091 18.329665 18.332196 18.504597 18.724614
6.097500 18.086549 18.257042 18.438767 18.438896 18.614775 18.820363
6.235000 18.205419 18.368055 18.543271 18.546625 18.721379 18.920705
6.372500 18.311186 18.473920 18.652243 18.652416 18.830644 19.022763
6.510000 18.424384 18.586232 18.756249 18.760264 18.935997 19.110995
6.643333 18.527831 18.685961 18.858929 18.863816 19.037027 19.209085
6.776667 18.649185 18.794552 18.962551 18.966722 19.137464 19.302184
6.910000 18.749480 18.895340 19.061553 19.069249 19.243214 19.400664
7.043333 18.863056 18.997420 19.165992 19.170740 19.339103 19.501640
7.176667 18.969852 19.107782 19.266617 19.273039 19.443651 19.601049
7.310000 19.073123 19.214131 19.368003 19.374179 19.538086 19.697507
7.443333 19.173624 19.309568 19.464656 19.469691 19.624731 19.774628
7.576667 19.262397 19.412642 19.562065 19.566268 19.724147 19.876560
7.710000 19.355600 19.507202 19.656926 19.659564 19.816136 19.969134
7.843333 19.436585 19.604851 19.754259 19.754015 19.906942 20.060853
7.976667 19.535480 19.701920 19.853593 19.849124 19.998503 20.155613
8.110000 19.641585 19.794549 19.942950 19.941813 20.092843 20.230851
8.243333 19.730431 19.884625 20.033499 20.033440 20.179721 20.325339
8.376667 19.822998 19.974783 20.122208 20.123940 20.270128 20.429263
8.510000 19.922949 20.065854 20.207746 20.213079 20.359431 20.527214
8.653571 20.013298 20.153266 20.301118 20.302205 20.451680 20.612760
8.797143 20.102308 20.235627 20.392010 20.393125 20.546422 20.714911
8.940714 20.178305 20.322489 20.479707 20.482165 20.635282 20.805561
9.084286 20.257599 20.412979 20.569311 20.569473 20.727572 20.896324
9.227857 20.331886 20.493901 20.650939 20.656779 20.821699 21.001548
9.371429 20.422039 20.579579 20.733969 20.743746 20.920124 21.085855
9.515000 20.508099 20.667337 20.816754 20.830160 21.003326 21.185816
9.658571 20.580968 20.739469 20.903913 20.913947 21.096938 21.263594
9.802143 20.654710 20.823918 20.990539 20.998985 21.180407 21.354680
9.945714 20.737802 20.903937 21.072335 21.083596 21.275170 21.443963
10.089286 20.817241 20.987058 21.150801 21.167924 21.363367 21.529706
10.232857 20.907573 21.071373 21.238109 21.255841 21.461245 21.624434
10.376429 21.003015 21.156286 21.323541 21.340332 21.547028 21.728576
10.520000 21.086267 21.244229 21.408720 21.426939 21.633020 21.813515
10.658889 21.180168 21.322831 21.497868 21.512842 21.721067 21.910067
10.797778 21.257570 21.401067 21.583574 21.597729 21.811250 21.988419
10.936667 21.351015 21.484323 21.667200 21.684840 21.898483 22.092962
11.075556 21.430038 21.574650 21.758196 21.770821 21.981032 22.166464
11.214444 21.514571 21.663510 21.848880 21.857346 22.060042 22.251169
11.353333 21.605172 21.753654 21.928742 21.942803 22.143955 22.333779
11.492222 21.682470 21.838679 22.018830 22.028413 22.221907 22.424271
11.631111 21.776926 21.925672 22.101862 22.114167 22.303371 22.520231
11.770000 21.870283 22.015009 22.192209 22.202050 22.383998 22.610061
11.908889 21.957103 22.105664 22.283179 22.291777 22.472958 22.692857
12.047778 22.040508 22.191112 22.369060 22.380822 22.561880 22.781509
12.186667 22.146516 22.286256 22.455811 22.470980 22.645898 22.864149
12.325556 22.230918 22.375496 22.547688 22.561928 22.742791 22.967367
12.464444 22.322621 22.474697 22.635762 22.653023 22.831068 23.050850
12.603333 22.399789 22.570770 22.735184 22.745787 22.920862 23.148190
12.742222 22.494589 22.663566 22.820535 22.835601 23.022219 23.242007
12.881111 22.592598 22.754839 22.912387 22.928264 23.102561 23.316717
13.020000 22.679660 22.847721 23.003547 23.019667 23.192175 23.401248
13.155000 22.766490 22.941798 23.094986 23.109504 23.286240 23.493246
13.290000 22.847316 23.030686 23.188347 23.200857 23.382487 23.594582
13.425000 22.949833 23.121462 23.277510 23.293301 23.486881 23.694053
13.560000 23.032941 23.216266 23.371749 23.386022 23.577146 23.776672
13.695000 23.114501 23.299185 23.468188 23.480670 23.672092 23.880820
13.830000 23.210492 23.402547 23.561475 23.575618 23.759626 23.963824
13.965000 23.298272 23.491838 23.661445 23.671158 23.854359 24.082623
14.100000 23.400269 23.585834 23.755733 23.767059 23.957759 24.179178
14.235000 23.491169 23.685448 23.858953 23.865801 24.055993 24.275437
