depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.030000 0.006344 0.035634 0.120009 0.142210 0.251306 0.405850
0.165714 0.356828 0.583826 0.839505 0.948983 1.350538 2.170175
0.301429 0.843896 1.148654 1.585617 1.730576 2.417105 3.085755
0.437143 1.388125 1.779987 2.459249 2.502501 3.285279 3.732423
0.572857 1.927196 2.462946 3.305150 3.241594 3.930095 4.325648
0.708571 2.707579 3.329971 4.122473 3.999471 4.558855 4.872777
0.844286 3.657637 4.359301 4.824915 4.755964 5.150873 5.400721
0.980000 5.081515 5.313596 5.514970 5.501581 5.694222 5.865178
1.100000 5.741127 5.946446 6.125948 6.128099 6.298782 6.494845
1.232500 6.274112 6.519592 6.796989 6.803912 7.065111 7.443305
1.365000 6.829190 7.170702 7.459459 7.473838 7.805094 8.134811
1.497500 7.513587 7.824661 8.118958 8.120686 8.429136 8.705710
1.630000 8.318046 8.509784 8.747071 8.756293 9.004611 9.210509
1.765000 8.838214 9.081720 9.324152 9.324820 9.575305 9.780797
1.900000 9.426853 9.662564 9.902870 9.895777 10.119153 10.343494
2.016667 9.895655 10.213393 10.500456 10.525762 10.842153 11.277599
2.133333 10.482449 10.846817 11.169636 11.192902 11.582589 11.912734
2.250000 11.289831 11.556891 11.889004 11.883389 12.210242 12.447582
2.358333 11.781644 12.099310 12.455336 12.447547 12.785115 13.098225
2.466667 12.385631 12.691522 12.993793 13.006174 13.301930 13.698401
2.575000 13.179216 13.390444 13.608405 13.638027 13.900625 14.251616
2.683333 13.680743 13.999305 14.389946 14.441115 14.928390 15.439626
2.791667 14.324915 14.851343 15.403816 15.367895 15.829456 16.265744
2.900000 15.831855 16.120944 16.406664 16.405579 16.698518 16.988447
3.000000 16.565962 17.036879 17.540483 17.512631 17.981378 18.380210
3.100000 18.031919 18.304806 18.558161 18.560738 18.823311 19.089417
3.240000 18.725531 19.116358 19.604712 19.695112 20.333331 21.157920
3.380000 19.388390 19.841653 20.611786 20.649944 21.484443 22.019354
3.520000 20.134679 20.747948 21.627194 21.563305 22.308085 22.743475
3.660000 21.086543 21.958136 22.538857 22.467390 22.981138 23.345966
3.800000 22.947935 23.186126 23.444241 23.446859 23.705351 23.987228
3.933333 23.608332 23.970358 24.423624 24.467663 24.953113 25.633587
4.066667 24.367494 24.934486 25.530878 25.496594 26.053095 26.516594
4.200000 25.935882 26.227436 26.567725 26.554026 26.884950 27.152827
4.300000 26.478825 26.845655 27.213633 27.216929 27.576322 27.994324
4.400000 27.018446 27.460013 27.854979 27.855351 28.251851 28.738289
4.500000 27.878281 28.237757 28.603092 28.597505 28.960983 29.383193
4.630000 29.537520 29.972702 30.250979 30.246805 30.559133 30.821910
4.742500 30.321812 30.676983 31.091511 31.093924 31.521735 31.974413
4.855000 30.850403 31.278578 31.778882 31.771122 32.260770 32.693769
4.967500 31.510400 31.945450 32.402064 32.391761 32.817652 33.234292
5.080000 32.133163 32.582710 33.015607 32.984658 33.377296 33.700437
5.195000 32.653471 33.148065 33.575562 33.557588 33.953928 34.338742
5.310000 33.266257 33.723209 34.145771 34.125859 34.521140 34.908353
5.425000 34.002367 34.349754 34.735615 34.722230 35.081179 35.515386
5.527500 34.594744 34.960326 35.354581 35.362914 35.731074 36.293373
5.630000 35.355428 35.643982 36.032592 36.057427 36.445536 36.991448
5.767500 36.013589 36.447147 37.030454 37.103853 37.796310 38.729159
5.905000 36.752063 37.315971 38.168087 38.155361 39.004886 39.636354
6.042500 37.641662 38.421458 39.286328 39.201730 39.883757 40.445612
6.180000 39.233507 39.776294 40.299108 40.261327 40.754975 41.154872
6.286667 39.800687 40.429535 40.996223 40.973621 41.492264 41.993345
6.393333 40.536022 41.086209 41.658156 41.638145 42.149451 42.792432
6.500000 41.203939 41.747513 42.294523 42.293327 42.806499 43.536277
6.600000 41.673876 42.272551 42.867216 42.913986 43.553564 44.470903
6.700000 42.185261 42.771691 43.450053 43.523007 44.302300 45.276561
6.800000 42.695364 43.319065 44.056613 44.162640 45.016943 46.122338
