depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.015000 0.007161 0.057132 0.178429 0.195043 0.338811 0.488140
0.125000 0.331556 0.493025 0.643279 0.659910 0.831500 1.033524
0.235000 0.794856 0.961813 1.123653 1.142187 1.324760 1.588899
0.350000 1.348493 1.663020 2.038371 2.064580 2.489038 2.874772
0.465000 2.556190 2.831746 3.058625 3.047720 3.284951 3.470596
0.555000 3.018500 3.268882 3.513174 3.515184 3.759874 4.004247
0.645000 3.500866 3.725817 3.968224 3.982554 4.262640 4.516453
0.790000 4.265794 4.811355 5.989227 6.040319 7.296835 7.997303
0.935000 8.022984 8.271316 8.507562 8.535679 8.835269 9.116395
1.015000 8.778809 9.232240 10.057836 10.036487 10.811366 11.241495
1.095000 10.836606 11.123677 11.332451 11.326982 11.543507 11.704395
1.145000 11.305510 11.494290 11.673285 11.667937 11.846994 11.986007
1.215000 11.701586 11.867935 12.030888 12.026125 12.175519 12.314310
1.255000 11.909890 12.080924 12.239667 12.230604 12.376256 12.521970
1.315000 12.236199 12.409501 12.569338 12.563987 12.718570 12.899194
1.430000 12.804405 13.101908 13.471947 13.516999 13.973075 14.310184
1.545000 13.913051 14.207839 14.502592 14.475680 14.729130 14.921604
1.625000 14.536836 14.740804 14.959081 14.941799 15.129420 15.286853
1.730000 15.095930 15.264452 15.451433 15.446536 15.627673 15.780581
1.865000 15.583902 15.759833 15.916701 15.916913 16.069113 16.250124
1.940000 15.865833 16.042305 16.199227 16.201588 16.372373 16.532074
2.015000 16.179279 16.327852 16.493182 16.490061 16.648362 16.811015
2.140000 16.628670 16.814844 16.974686 16.974693 17.142380 17.298693
2.265000 17.156763 17.311296 17.444457 17.449712 17.589954 17.730164
2.315000 17.405708 17.545763 17.670212 17.669186 17.795788 17.950317
2.405000 17.817467 17.955144 18.079574 18.075898 18.189911 18.325517
2.465000 18.153224 18.268083 18.373964 18.392738 18.518945 18.716686
2.565000 18.575246 18.703013 18.842592 18.856572 19.011536 19.211964
2.675000 19.078274 19.253559 19.439932 19.466874 19.674520 19.985436
2.785000 19.682429 19.866783 20.061130 20.074596 20.281131 20.527220
2.865000 20.042512 20.233828 20.431462 20.441889 20.661790 20.870179
2.965000 20.497996 20.716222 20.963305 20.959781 21.207632 21.423641
3.065000 21.065586 21.319715 21.554514 21.535945 21.733040 21.960513
3.145000 21.585186 21.872291 22.121861 22.117906 22.356987 22.651007
3.251667 22.117479 22.470770 22.856377 22.876656 23.285045 23.719135
3.358333 22.688934 23.207097 23.652972 23.609530 24.001816 24.334241
3.465000 23.910982 24.151077 24.387987 24.388348 24.626747 24.865006
3.585000 24.566562 24.894932 25.206788 25.221606 25.544057 25.988824
3.705000 25.548311 25.821172 26.079502 26.097252 26.387844 26.758958
3.805000 26.150540 26.568114 26.927741 26.927519 27.296225 27.671809
3.905000 27.299605 27.520655 27.797436 27.817594 28.108852 28.468382
4.025000 28.015904 28.447752 28.849705 28.843871 29.222872 29.546291
4.145000 29.440688 29.681688 29.878424 29.864065 30.041674 30.221056
4.225000 30.000920 30.241126 30.481698 30.486127 30.743884 30.978136
4.365000 30.773023 31.160411 31.678376 31.710713 32.301762 32.900091
4.505000 31.781776 32.222556 32.927231 32.879287 33.473109 33.953756
