depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.170000 0.056285 0.197479 0.351539 0.351067 0.500306 0.609050
0.290000 0.470095 0.572092 0.705787 0.705397 0.831503 0.965260
0.410000 0.732629 0.870356 1.022859 1.016622 1.158921 1.298821
0.530000 1.039548 1.180312 1.329712 1.332508 1.483758 1.627155
0.650000 1.447530 1.588875 1.748591 1.748511 1.902111 2.082940
0.750000 1.718652 1.893544 2.070933 2.084184 2.274876 2.522893
0.890000 3.377762 3.630487 3.872266 3.863129 4.089480 4.313317
1.010000 3.944887 4.165162 4.343715 4.346758 4.545416 4.739094
1.120000 4.397017 4.568494 4.791630 4.793923 5.015418 5.211677
1.230000 4.866643 5.044858 5.276268 5.274917 5.486883 5.718829
1.346667 5.327180 5.583114 5.914969 5.929381 6.253814 6.614031
1.463333 5.892142 6.271062 6.601663 6.580688 6.891275 7.139598
1.580000 6.711671 6.936381 7.191844 7.166749 7.389485 7.541979
1.720000 7.161938 7.402812 7.642109 7.630821 7.851115 8.071982
1.860000 7.706493 7.912925 8.116557 8.122709 8.325507 8.599607
1.940000 8.158805 8.429926 8.860444 8.892533 9.376067 9.841123
2.020000 9.214800 9.541888 9.815267 9.813818 10.086264 10.387720
2.160000 10.147160 10.450905 10.799759 10.807206 11.171989 11.492408
2.300000 11.150607 11.371456 11.594319 11.603257 11.835178 12.043181
2.445000 11.798951 12.050979 12.255726 12.252479 12.461483 12.680492
2.590000 12.467516 12.668078 12.820254 12.825604 13.003767 13.184188
2.685000 12.764110 12.942536 13.112433 13.121861 13.303598 13.493805
2.780000 13.073288 13.216986 13.402561 13.413152 13.607669 13.805273
2.895000 13.427230 13.632439 13.842900 13.852770 14.073299 14.329856
3.010000 13.801422 14.054515 14.300505 14.311462 14.563801 14.909484
3.125000 14.289434 14.541525 14.805431 14.827727 15.116604 15.478020
3.240000 14.956307 15.160806 15.429003 15.454209 15.752039 16.102193
3.280000 15.956241 16.409527 16.717887 16.693335 16.994505 17.249196
3.390000 16.921380 17.359181 17.859291 17.868526 18.387958 18.824251
3.500000 18.417154 18.735862 18.958232 18.969476 19.224344 19.498581
3.624000 19.037793 19.439568 19.827737 19.916024 20.450155 21.157213
3.748000 19.578793 20.094855 20.729776 20.738003 21.406094 21.888806
3.872000 20.267461 20.865784 21.611858 21.517090 22.105122 22.511966
3.996000 21.162373 21.900857 22.369837 22.290655 22.689271 23.032726
4.120000 22.517269 22.809617 23.071136 23.069664 23.329569 23.610162
