depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.300000 5.487448 5.739722 5.996419 5.991998 6.230769 6.499295
0.400000 6.304323 6.743481 7.407523 7.573258 8.507367 9.523756
0.500000 7.275783 8.249400 9.331863 9.212997 10.093101 10.645019
0.600000 10.388882 10.705857 11.006741 11.009163 11.297311 11.673811
0.700000 11.356807 11.964482 12.555228 12.567652 13.170929 13.717990
0.800000 13.453434 13.700496 13.949097 13.991298 14.300013 14.702839
0.900000 14.304329 14.642448 14.991769 14.993122 15.350168 15.677066
1.000000 15.365876 15.666225 15.962205 15.951344 16.215920 16.533905
1.133333 16.232969 16.796505 17.399847 17.490632 18.216593 19.212232
1.266667 17.297440 18.324623 19.201678 19.099059 19.819156 20.375637
1.400000 20.238211 20.521907 20.792242 20.808717 21.122688 21.448310
1.533333 21.367177 21.981142 23.035315 23.255395 24.761814 25.785447
1.666667 22.532041 24.158353 25.749794 25.406550 26.436314 26.748060
1.800000 26.534996 26.875199 27.090704 27.075255 27.290722 27.496366
1.900000 27.134641 27.371196 27.597559 27.592779 27.815418 28.028838
2.000000 27.673977 27.850971 28.065032 28.074941 28.313625 28.502857
2.128571 28.071324 28.285080 28.582797 28.594862 28.904822 29.177831
2.257143 28.486663 28.753040 29.116634 29.117590 29.463994 29.799001
2.385714 28.932440 29.240056 29.634912 29.651136 30.071365 30.443607
2.514286 29.383856 29.705835 30.129788 30.171182 30.654972 31.129389
2.642857 29.807110 30.215977 30.670801 30.702570 31.218528 31.753912
2.771429 30.250850 30.681259 31.194081 31.226865 31.802327 32.312721
2.900000 30.798623 31.207239 31.725403 31.804455 32.501491 32.969496
