depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.020000 0.352720 0.494046 0.639128 0.642057 0.787088 0.946722
0.030000 0.419718 0.573476 0.709227 0.715279 0.867744 1.014569
0.174000 1.006212 1.249232 1.545077 1.592707 1.911489 2.461068
0.318000 1.616554 1.997824 2.370114 2.422559 2.875629 3.390988
0.462000 2.362953 2.783144 3.183808 3.217586 3.705370 4.187809
0.606000 3.140564 3.658573 4.061285 4.062653 4.498227 4.864415
0.750000 4.379190 4.692972 5.025234 5.025812 5.340826 5.705059
0.883333 5.130046 5.616258 6.278983 6.636833 7.732658 10.164336
1.016667 5.980177 6.687529 8.137930 8.417455 10.198992 12.360622
1.150000 6.885021 8.247270 10.350469 10.323977 12.368100 13.541688
1.283333 8.187695 10.266060 12.555238 12.148378 13.887529 14.397925
1.416667 9.932811 12.871958 14.263652 13.894711 14.839094 15.242775
1.550000 14.516676 15.008899 15.346943 15.320873 15.652133 15.961525
1.666250 15.072579 15.562481 15.926204 15.914243 16.271756 16.631082
1.782500 15.583138 16.064712 16.469110 16.463946 16.855962 17.247766
1.898750 16.213851 16.626418 17.001536 17.010148 17.396670 17.774238
2.015000 16.848177 17.262555 17.644936 17.641289 18.026291 18.406228
