depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.000000 3.307607 3.662053 4.105887 4.096416 4.516606 4.848690
0.100000 4.543590 5.350599 6.450273 6.529125 7.788103 8.418337
0.200000 8.654250 8.925645 9.214631 9.219362 9.500180 9.824447
0.275000 9.870450 10.410278 11.872716 11.787957 13.056890 13.566918
0.350000 13.274140 13.570831 13.816838 13.820025 14.059200 14.431914
0.466667 14.052534 14.339505 14.668333 14.697671 15.076131 15.516896
0.583333 14.747000 15.090876 15.464915 15.481140 15.864680 16.341162
0.700000 15.531507 15.857049 16.257301 16.289606 16.739246 17.180873
0.812500 16.334549 16.790142 17.265234 17.274371 17.762586 18.277922
0.925000 17.240664 17.809534 18.313565 18.285157 18.772168 19.199181
1.037500 18.381230 18.916464 19.332521 19.323938 19.744240 20.124384
1.150000 19.637884 20.012606 20.320140 20.308575 20.617939 20.881736
1.262500 20.219510 20.613119 20.959616 20.968288 21.324061 21.671447
1.375000 20.826552 21.266941 21.631794 21.630401 21.997650 22.410842
1.487500 21.564566 21.905088 22.288481 22.299309 22.693500 23.104413
1.600000 22.383386 22.668397 22.946190 22.997830 23.372200 23.691366
1.733333 23.478219 24.100253 25.430803 26.475014 29.713474 32.418637
1.866667 24.971868 27.405928 31.799706 30.860506 33.550242 34.267151
2.000000 34.459009 34.740849 35.078057 35.069720 35.368458 35.724619
