depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.125000 0.352126 0.575268 0.779027 0.787132 1.002069 1.249460
0.211500 0.685561 0.877884 1.067477 1.078139 1.294406 1.508335
0.298000 0.990966 1.182587 1.376785 1.393155 1.617980 1.871314
0.397750 1.443340 1.744917 2.181214 2.227361 2.723267 3.182443
0.497500 2.547981 2.865996 3.151025 3.144793 3.426586 3.688207
0.596250 3.215686 3.563407 3.965546 3.998664 4.463240 4.882357
0.695000 4.138939 4.464706 4.841014 4.817546 5.150883 5.430457
0.796500 4.683960 5.084157 5.385713 5.372080 5.672130 5.924872
0.898000 5.467452 5.671626 5.911348 5.912858 6.145675 6.390014
1.004000 5.949563 6.319038 6.678305 6.673245 7.047276 7.413887
1.110000 6.934050 7.213777 7.429747 7.424447 7.639130 7.864589
1.202500 7.424895 7.657672 7.913990 7.925763 8.173499 8.528778
1.295000 7.956563 8.179284 8.423439 8.445082 8.737419 9.046386
1.410000 9.158731 9.468194 9.749808 9.758697 10.051158 10.363675
1.495000 9.912008 10.177446 10.440275 10.452537 10.749997 11.027382
1.595000 10.430982 10.750185 11.113334 11.113497 11.489254 11.849461
1.695000 11.222936 11.405424 11.688059 11.687732 11.957427 12.167941
1.800000 11.617970 11.843475 12.082121 12.069892 12.302092 12.479779
1.895000 12.042166 12.246849 12.448592 12.437033 12.625324 12.790296
2.000000 12.495534 12.705009 12.877515 12.878458 13.052748 13.250340
2.085000 12.881963 13.080164 13.280676 13.293161 13.503193 13.772993
2.190000 13.255588 13.441910 13.678691 13.689270 13.924172 14.230430
2.295000 13.567145 13.783122 14.029048 14.040304 14.303444 14.556811
2.395000 13.836981 14.053024 14.321044 14.329613 14.610417 14.854740
2.495000 14.154280 14.363055 14.649655 14.639594 14.898827 15.128852
2.600000 14.494426 14.736183 15.012832 15.000172 15.258861 15.505449
2.700000 14.856668 15.142045 15.420305 15.417373 15.695285 15.946452
2.800000 15.333951 15.598318 15.846858 15.838519 16.082513 16.297263
2.895000 15.708216 15.925328 16.184607 16.174200 16.414911 16.629819
2.990000 16.000192 16.244027 16.473496 16.469577 16.709235 16.913119
3.091667 16.268966 16.521204 16.774550 16.761706 17.005412 17.228997
3.193333 16.574360 16.808815 17.049294 17.045729 17.280441 17.506732
3.295000 16.878934 17.094830 17.324183 17.325831 17.560044 17.780372
3.396667 17.163441 17.362159 17.609408 17.607294 17.856181 18.081029
3.498333 17.400099 17.642129 17.885022 17.886945 18.140962 18.351572
3.600000 17.709129 17.930165 18.173568 18.170481 18.420008 18.633993
3.733333 18.062203 18.280687 18.529648 18.547842 18.817124 19.130475
3.866667 18.386978 18.629623 18.901137 18.920913 19.222055 19.609743
4.000000 18.751698 18.988594 19.249588 19.286460 19.604206 19.965802
4.136667 19.017087 19.264233 19.539270 19.579725 19.896754 20.290529
4.273333 19.260237 19.541162 19.840473 19.867757 20.202094 20.636162
4.410000 19.552497 19.831355 20.127240 20.163017 20.496766 20.959494
4.543333 19.962531 20.230645 20.564600 20.621362 21.022949 21.625979
4.676667 20.333720 20.662365 21.128603 21.161409 21.684052 22.230326
4.810000 20.739637 21.145079 21.711276 21.695804 22.202068 22.681618
4.943333 21.162003 21.683328 22.254318 22.206796 22.680255 23.091453
5.076667 21.760638 22.348425 22.743241 22.711982 23.097366 23.511769
5.210000 22.513299 22.878432 23.138922 23.162024 23.472177 23.880417
5.310000 22.744082 23.097931 23.356910 23.381150 23.696182 24.065403
5.410000 22.978537 23.302775 23.547240 23.584772 23.903441 24.258962
5.510000 23.202381 23.515108 23.751675 23.791152 24.110218 24.474811
5.643333 23.569226 23.838546 24.078734 24.120397 24.441142 24.765990
5.776667 23.877086 24.135094 24.435079 24.448403 24.777925 25.087541
5.910000 24.182144 24.452871 24.772370 24.771386 25.091529 25.405229
6.043333 24.510281 24.780997 25.097658 25.096615 25.393658 25.673390
6.176667 24.793466 25.110847 25.424072 25.414637 25.701772 25.994327
6.310000 25.100926 25.407790 25.744680 25.723720 25.998623 26.292064
6.430000 25.330122 25.650040 25.975026 25.952354 26.218158 26.520023
6.550000 25.544737 25.900773 26.190058 26.176338 26.443166 26.770406
6.670000 25.749680 26.120879 26.407334 26.399307 26.663167 26.960449
6.790000 26.015872 26.339952 26.639816 26.630161 26.903837 27.194969
6.910000 26.265768 26.619440 26.889575 26.885997 27.152700 27.515059
