depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.050000 2.178882 2.444766 2.718842 2.721360 2.989338 3.283366
0.150000 3.334182 3.996141 5.045054 5.079187 6.150614 6.900898
0.250000 7.404280 7.611849 7.823864 7.834990 8.053514 8.302930
0.350000 8.884098 9.582909 11.313498 11.168043 12.656139 13.194750
0.450000 13.196598 13.474402 13.727420 13.725411 13.990158 14.259672
0.550000 13.779499 14.067830 14.375968 14.381010 14.686985 14.999842
0.650000 14.375540 14.666901 14.990024 14.991288 15.308916 15.612019
0.750000 15.086486 15.335892 15.619913 15.624572 15.906336 16.226767
0.875000 15.978109 16.467434 16.929212 16.972300 17.467571 18.377374
1.000000 17.140054 17.755891 18.399338 18.418951 19.033176 19.945288
1.125000 18.584516 19.320704 20.004177 19.951830 20.541938 21.116461
1.250000 20.991570 21.312448 21.633044 21.631475 21.937958 22.208612
