depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 5.578052 6.006965 6.251187 6.226054 6.467659 6.648248
0.030000 6.145870 6.309164 6.502154 6.496349 6.685795 6.836660
0.070000 6.511372 6.709491 6.922408 6.930307 7.140677 7.408676
0.100000 6.780774 7.010884 7.239535 7.258438 7.515821 7.856474
0.130000 7.043793 7.300424 7.546046 7.575204 7.859983 8.244151
0.170000 7.436113 7.676191 7.951083 7.971969 8.276538 8.662640
0.200000 7.728996 7.966975 8.260548 8.289471 8.626001 9.029628
0.230000 7.991438 8.255491 8.572169 8.598675 8.933718 9.412059
0.270000 8.380328 8.640266 8.982585 9.011875 9.347416 9.831537
0.300000 8.713329 8.958723 9.304330 9.338793 9.698374 10.177068
0.370000 9.376729 9.722599 10.126859 10.157923 10.560097 11.211698
0.400000 9.974823 10.550525 12.074873 11.692231 12.417456 12.716599
0.430000 10.859653 12.075376 12.667312 12.611686 13.226771 13.987715
0.470000 12.577714 12.992242 13.461448 13.692488 14.607592 14.927322
0.500000 13.277142 13.702834 14.194176 14.271165 14.944204 15.228762
0.530000 14.141573 14.508467 15.025505 14.960694 15.350241 15.628010
0.570000 14.668701 15.231511 15.598166 15.559901 15.872045 16.202755
0.600000 14.943150 15.580702 15.942523 15.921534 16.258141 16.693374
0.630000 15.170321 15.912522 16.231481 16.235866 16.577351 17.041244
0.670000 16.412614 16.635387 16.989151 17.103495 17.501895 18.622054
0.700000 16.770743 17.064779 17.485263 17.643342 18.170203 19.832172
0.730000 17.131282 17.501963 18.137964 18.243389 18.867348 20.416213
0.770000 17.542387 18.082817 18.886799 18.979085 19.723447 21.129601
0.800000 17.843962 18.560567 19.354526 19.463635 20.400645 21.634670
0.830000 18.178292 19.037969 19.739135 19.867691 20.888200 22.016866
0.870000 18.622165 19.524266 20.195486 20.355488 21.413043 22.744871
0.900000 18.951991 19.894193 20.559965 20.712857 21.699563 23.346360
0.930000 19.375654 20.235335 20.857060 21.039987 21.965325 23.704011
0.970000 19.893471 20.678903 21.283144 21.454374 22.331843 24.125174
1.000000 20.362656 21.048453 21.578835 21.775297 22.606868 24.391054
1.030000 20.693291 21.419286 21.939199 22.143429 23.005525 24.636503
1.070000 21.231882 21.862178 22.486619 22.694023 23.740245 24.907931
1.100000 21.472196 22.137819 22.899327 23.082888 24.180554 25.169678
1.130000 21.770783 22.412145 23.323950 23.456333 24.554910 25.407207
1.170000 22.109860 22.806804 24.009778 23.935889 24.986272 25.751782
1.200000 22.351414 23.141657 24.442742 24.302499 25.312401 26.048023
1.230000 22.613610 23.536206 24.824749 24.674093 25.631220 26.337780
1.270000 23.004323 24.061157 25.323757 25.157856 26.078745 26.711012
1.300000 23.338365 24.502910 25.698114 25.527579 26.422701 27.068638
1.330000 23.740573 24.999978 26.067538 25.911765 26.759153 27.463812
1.370000 24.258122 25.577982 26.481045 26.389604 27.184931 28.048343
1.400000 24.704575 25.989591 26.813027 26.761179 27.518260 28.464400
1.430000 25.299635 26.385032 27.146421 27.122990 27.845026 28.955535
1.470000 25.968455 26.894746 27.613746 27.633084 28.296529 29.569872
1.500000 26.650146 27.241774 27.943782 28.029620 28.727193 30.062480
1.520000 26.970669 27.485734 28.194089 28.306504 29.117672 30.373059
1.540000 27.201724 27.753514 28.468326 28.593365 29.498351 30.689932
1.560000 27.558164 28.051532 28.773343 28.884885 29.787935 30.952080
1.580000 27.782133 28.326994 29.066962 29.178360 30.089173 31.174101
1.600000 27.999257 28.620307 29.368357 29.481591 30.401745 31.427646
1.620000 28.245542 28.976964 29.680715 29.788494 30.700195 31.624059
1.640000 28.530647 29.298392 30.003078 30.093954 31.005761 31.888908
1.660000 28.795776 29.678357 30.352385 30.409701 31.259969 32.076079
1.680000 29.078682 30.033002 30.671965 30.718667 31.499560 32.332704
1.700000 29.308873 30.408052 31.000413 31.029710 31.747895 32.530489
1.720000 29.734533 30.756868 31.315738 31.354623 32.072737 32.700064
1.740000 30.298128 31.104733 31.692026 31.689319 32.358645 32.889573
1.760000 30.793460 31.464813 32.039358 32.026508 32.622944 33.124972
1.780000 31.231253 31.852467 32.381225 32.364222 32.912930 33.320320
1.800000 31.724102 32.230641 32.697645 32.696644 33.185050 33.524048
1.820000 32.077040 32.539119 33.044384 33.001641 33.430169 33.773479
1.840000 32.257188 32.746841 33.466462 33.404323 33.943017 34.466683
1.860000 32.408011 32.971722 33.871145 33.797879 34.413164 35.083035
1.880000 32.574044 33.172029 34.306527 34.252300 35.037680 36.112139
1.900000 32.742699 33.355716 34.746618 34.694134 35.755384 36.914766
1.920000 32.907335 33.532728 35.117672 35.139415 36.433979 38.156556
1.940000 33.092182 33.682403 35.598354 35.637028 37.234952 39.002743
1.960000 33.222605 33.870748 36.054864 36.121054 38.438956 39.559653
1.980000 33.393247 34.050342 36.504738 36.590839 38.894911 39.953049
2.000000 33.531504 34.227855 37.037527 37.088922 39.202299 40.338863
2.020000 33.682618 34.394953 38.144181 37.626817 39.487435 40.936965
2.040000 33.808832 34.544238 38.896160 38.165196 39.937800 41.370260
2.060000 33.916257 34.693598 39.351059 38.608200 40.423491 41.661667
2.080000 34.050016 34.933726 39.708592 38.970527 40.901866 41.951046
2.100000 34.212649 35.147372 40.102214 39.328901 41.193233 42.245300
2.120000 34.343651 35.432220 40.508372 39.679575 41.503762 42.553838
2.140000 34.469830 35.634217 40.919828 39.989486 41.789553 42.842910
2.160000 34.618741 35.913349 41.260066 40.293445 42.065672 43.302947
2.200000 34.888250 36.267651 41.927779 41.034997 42.861862 45.184532
2.220000 35.069783 36.501929 42.232176 41.372573 43.268150 45.505617
2.240000 35.211313 36.697969 42.504179 41.692032 43.700341 45.870799
2.260000 35.396637 37.045486 42.835528 42.031258 44.275515 46.121055
2.280000 35.540014 37.771596 43.118467 42.363836 44.845372 46.345026
2.300000 35.708455 38.826287 43.447546 42.708273 45.296324 46.720392
2.320000 35.857779 39.202314 43.781789 43.057127 45.710474 47.000104
2.340000 36.035535 39.712485 44.105043 43.377637 46.098588 47.236286
2.360000 36.205878 40.167972 44.561556 43.699488 46.399377 47.586827
2.380000 36.397216 40.812403 44.957486 44.033305 46.737440 48.065243
2.400000 36.525256 41.378072 45.473820 44.358533 47.070268 48.428912
2.420000 36.730806 41.850543 45.844713 44.681205 47.374123 48.838891
2.440000 36.930799 42.541939 46.350566 44.997301 47.677796 49.205086
2.460000 37.121410 42.969264 46.714833 45.305866 48.045132 49.541819
2.480000 37.301734 43.353111 47.068386 45.612296 48.310607 49.938032
2.500000 37.478766 43.685398 47.418307 45.911013 48.609312 50.362298
2.520000 37.707882 43.871120 47.750641 46.204722 48.940193 50.588194
2.540000 37.889719 44.120481 48.069253 46.477473 49.199683 50.906202
2.560000 38.146582 44.343103 48.408884 46.797250 49.602937 51.187014
2.580000 38.431796 44.577645 48.777713 47.138350 50.068773 51.489623
2.600000 38.745319 44.763559 49.106492 47.458113 50.367548 51.788245
2.620000 39.142657 45.000741 49.461211 47.823696 50.713734 52.001632
2.640000 39.768960 45.262993 49.834800 48.170950 51.050870 52.206151
2.660000 40.413584 45.583748 50.161281 48.511148 51.397231 52.398017
2.680000 41.087316 45.804465 50.506498 48.839905 51.653636 52.617324
2.700000 41.673829 46.045433 50.772553 49.162626 51.922095 52.845410
2.720000 42.323248 46.251453 51.110507 49.470254 52.183257 53.068254
2.740000 42.933513 46.440805 51.398151 49.768096 52.433065 53.279756
2.760000 43.242324 46.723842 51.702839 50.047403 52.688052 53.518734
2.780000 43.496210 46.969723 51.968187 50.321164 52.924354 53.712961
2.800000 43.725477 47.173852 52.219898 50.582460 53.161256 53.947218
2.820000 43.936429 47.354910 52.443786 50.832287 53.344571 54.147339
2.840000 44.127767 47.522861 52.687871 51.068731 53.542183 54.375851
2.860000 44.333114 47.733462 52.916871 51.292764 53.746164 54.554131
2.880000 44.521285 47.941490 53.148261 51.511928 53.946920 54.766504
2.900000 44.742976 48.154513 53.379536 51.729582 54.130191 54.957676
2.920000 45.047353 48.363459 53.548136 51.947917 54.312209 55.168293
2.940000 45.288117 48.577469 53.730337 52.166462 54.508069 55.386699
2.960000 45.567064 48.803386 53.908838 52.381359 54.685416 55.565712
2.980000 45.882392 49.059442 54.096761 52.599621 54.859322 55.807749
3.000000 46.102648 49.261955 54.234162 52.824729 55.041326 55.979350
3.020000 46.439403 49.440100 54.440449 53.041012 55.202105 56.165119
3.040000 46.723906 49.718297 54.629462 53.257569 55.358299 56.329414
3.060000 47.126658 49.991983 54.802555 53.474345 55.550431 56.495194
3.080000 47.480149 50.192959 54.986799 53.692276 55.708067 56.657789
3.100000 47.706067 50.338016 55.156397 53.912987 55.872631 56.834656
3.120000 47.980611 50.534585 55.332429 54.126144 56.034866 57.006455
3.140000 48.222549 50.747124 55.498851 54.342199 56.191972 57.166032
3.160000 48.409959 50.945301 55.692651 54.555184 56.359188 57.293249
3.180000 48.771250 51.187908 55.904078 54.766679 56.497758 57.431102
3.200000 48.997818 51.405378 56.076333 54.965498 56.654050 57.610921
3.220000 49.232095 51.667309 56.253657 55.165103 56.838417 57.733336
3.240000 49.501235 51.925508 56.430845 55.362730 57.006257 57.893573
3.260000 49.833687 52.180919 56.615174 55.557764 57.159174 58.073559
3.280000 50.083344 52.370447 56.791880 55.755873 57.328121 58.240696
3.300000 50.239630 52.652106 56.982016 55.959437 57.530160 58.365302
3.320000 50.384667 52.903827 57.180731 56.168223 57.714847 58.536991
3.360000 51.007657 53.543094 57.538794 56.564776 58.064103 58.886549
3.380000 51.299005 53.903035 57.720278 56.768945 58.271780 59.058331
3.400000 51.638728 54.147341 57.897704 56.971181 58.464835 59.288648
3.440000 52.063637 54.726967 58.284942 57.389732 58.835283 59.551634
3.460000 52.236005 54.934417 58.476439 57.593229 59.028316 59.716910
3.480000 52.466366 55.161036 58.672759 57.807432 59.223799 59.871487
3.500000 52.692667 55.399391 58.869173 58.024679 59.412020 60.028809
3.520000 53.032218 55.730983 59.074545 58.242785 59.604733 60.218505
3.540000 53.294412 56.005611 59.260370 58.451897 59.817580 60.432374
3.560000 53.590258 56.276954 59.459073 58.663277 60.003169 60.639781
3.620000 55.010357 57.081372 59.940448 59.275030 60.455647 61.167987
3.640000 55.257946 57.323054 60.109484 59.465034 60.627006 61.354007
3.660000 55.564726 57.614877 60.276815 59.665364 60.794243 61.530151
3.680000 55.906982 57.971181 60.436713 59.862556 60.961903 61.711059
3.700000 56.216643 58.342605 60.589528 60.063583 61.108448 61.820312
3.740000 56.965255 59.478650 60.866337 60.507011 61.389050 62.074674
3.760000 57.302515 59.893064 61.030615 60.712558 61.535904 62.236223
3.780000 57.629799 60.186669 61.184358 60.923773 61.688501 62.361061
3.800000 58.259401 60.478496 61.359334 61.137343 61.850883 62.554510
3.820000 58.788889 60.706813 61.512817 61.350034 62.037816 62.712666
3.840000 59.512430 60.964073 61.690306 61.573366 62.211957 62.899577
3.860000 59.983267 61.222220 61.855056 61.788862 62.398416 63.041891
3.880000 60.355901 61.444993 62.034116 61.985342 62.586578 63.200633
3.900000 60.722422 61.672217 62.195660 62.187119 62.772725 63.354943
3.920000 61.073075 61.900644 62.372596 62.393996 62.949492 63.616859
3.940000 61.503322 62.155233 62.563671 62.619782 63.187120 63.838198
3.960000 61.766688 62.360441 62.768442 62.854578 63.434371 64.128775
3.980000 62.022014 62.573458 62.983448 63.077669 63.699309 64.291758
4.000000 62.267836 62.752155 63.200796 63.300660 63.945664 64.569949
4.020000 62.489366 62.946157 63.401900 63.517876 64.172840 64.847114
4.040000 62.690643 63.112057 63.609464 63.732731 64.411192 65.130448
4.060000 62.896057 63.303315 63.875039 63.957189 64.629952 65.379693
4.080000 63.094088 63.491338 64.072256 64.167714 64.821851 65.615698
4.100000 63.300432 63.674125 64.318615 64.379938 65.053172 65.842188
4.120000 63.499141 63.858296 64.573825 64.587310 65.270359 66.032083
4.140000 63.658305 64.038333 64.810567 64.794544 65.495734 66.275044
4.160000 63.830164 64.222389 65.015191 64.992581 65.696791 66.450870
4.180000 64.022198 64.420123 65.223866 65.195869 65.912667 66.656248
4.200000 64.212190 64.613094 65.432476 65.405643 66.119444 66.847552
